sample_size,rho,innovation,effect,true_effect,simulations,bias,rmse,growing_lag,coverage_student,coverage_nw2,coverage_hac,rejection_student,rejection_nw2,rejection_hac,rejection_sign,rejection_three_025,z_mean,z_sd,z_q025,z_q975
120,0,gaussian,moderate,-0.035,10000,2.58341286113322e-05,0.0110031800963959,4,0.949,0.9441,0.9371,0.9333,0.9359,0.9378,0.7879,0.657,0.00235832249898598,1.00449578136172,-1.93455990234984,1.98501173354434
120,0,gaussian,application,-0.07,10000,0.000226248728576658,0.0110111414376625,4,0.9465,0.9421,0.9325,1,1,1,0.9996,0.9981,0.0206535887080501,1.00501313378572,-1.94302546352898,2.01655767229706
120,0,skewed,null,0,10000,0.000110082833936912,0.0109093519209648,4,0.9442,0.9369,0.93,0.0785,0.0799,0.0836,0.8626,0.0417,0.0100491418902236,0.995882115176369,-1.81789370501231,2.07105374894946
120,0,skewed,moderate,-0.035,10000,2.94787333965054e-05,0.0108354413779334,4,0.9424,0.9349,0.9306,0.9026,0.9045,0.9075,0.9996,0.8384,0.00269102787465784,0.989181743602474,-1.85919126228968,2.04970581578094
120,0,skewed,application,-0.07,10000,-3.80250498848734e-05,0.0110104246511371,4,0.9366,0.9333,0.9252,0.9995,0.9994,0.9994,1,0.9985,-0.00347119626203376,1.00515392314999,-1.87511419348917,2.06893951315335
120,0,t3,null,0,10000,7.58161975922396e-05,0.0111489884997707,4,0.9516,0.945,0.9391,0.049,0.0525,0.0562,0.0423,0.0057,0.00692104027425646,1.01778610692897,-1.9464612262583,2.01494833874293
120,0,t3,moderate,-0.035,10000,-6.84099030394767e-05,0.0109876854964956,4,0.9522,0.9444,0.9375,0.9353,0.9363,0.9393,0.9878,0.8709,-0.00624494117524382,1.00306458049692,-1.96062346761559,1.95579503879122
120,0,t3,application,-0.07,10000,3.87435384915198e-05,0.0110000006633809,4,0.9546,0.9477,0.9399,0.9974,0.9976,0.9976,1,0.9963,0.0035367849982297,1.00420206546485,-1.92052296838494,2.02119737966796
120,0.3,gaussian,null,0,10000,0.000125477745250769,0.0149295962185224,4,0.8482,0.9083,0.9149,0.1101,0.0792,0.0743,0.0792,0.0294,0.00840530402874976,1.00009477744994,-1.97639751392398,1.94981428550562
120,0.3,gaussian,moderate,-0.035,10000,1.40198382720311e-05,0.0147148243185596,4,0.8562,0.9124,0.9179,0.8724,0.8168,0.8024,0.7444,0.6045,0.000939138672557545,0.985742135642526,-1.91947503314903,1.93706187403665
120,0.3,gaussian,application,-0.07,10000,1.73782945609943e-05,0.0148900343875849,4,0.8476,0.9091,0.9146,1,0.9996,0.9995,0.9964,0.9922,0.00116410961158409,0.997479184573405,-1.94008072953466,1.95138939185555
120,0.3,skewed,null,0,10000,-3.82932445519483e-05,0.0150198996535661,4,0.8356,0.8963,0.9017,0.148,0.1103,0.1043,0.7186,0.0743,-0.00256512708339741,1.0061762371598,-1.85736711034485,2.10455495745883
120,0.3,skewed,moderate,-0.035,10000,-0.000139110912262903,0.0148533142463381,4,0.8474,0.9024,0.9074,0.8458,0.7916,0.7789,0.9966,0.7157,-0.00931854098071051,0.994976350169957,-1.87433297112027,2.0624225385655
120,0.3,skewed,application,-0.07,10000,0.000253902092369179,0.0149139528954525,4,0.842,0.8997,0.9041,0.9963,0.9925,0.9915,1,0.9859,0.017007990346285,0.998937365372098,-1.82139336390863,2.05673652993102
120,0.3,t3,null,0,10000,-9.34795154945344e-05,0.0149501831646389,4,0.8471,0.9114,0.9171,0.1197,0.0786,0.0736,0.088,0.0232,-0.00626185740444653,1.00148963817121,-1.93508218209221,1.92993573465364
120,0.3,t3,moderate,-0.035,10000,-0.000275521195471965,0.0147497832564404,4,0.8461,0.9121,0.9168,0.8877,0.8447,0.8344,0.9418,0.7547,-0.0184561765090552,0.987912072621477,-1.95289828300541,1.93593310521406
120,0.3,t3,application,-0.07,10000,-1.60691960310314e-05,0.0148837400994666,4,0.8448,0.9071,0.9144,0.9965,0.9944,0.9939,1,0.991,-0.00107641779718381,0.997057629959074,-1.98374140358725,1.93831127046357
120,0.6,gaussian,null,0,10000,-0.0001782946787824,0.0216363193017159,4,0.6794,0.828,0.8645,0.2037,0.1248,0.1022,0.1587,0.0717,-0.00813800145435487,0.987574193908115,-1.97153554528162,1.94593676079314
120,0.6,gaussian,moderate,-0.035,10000,-9.88352437239576e-05,0.0217102766473967,4,0.6784,0.8273,0.8662,0.7892,0.6749,0.6279,0.688,0.5394,-0.00451119103867773,0.990973302122297,-1.96604948908907,1.9417545616638
120,0.6,gaussian,application,-0.07,10000,0.000229771312416355,0.0216853029361886,4,0.6686,0.8235,0.8646,0.9924,0.9815,0.9722,0.9765,0.95,0.010487577573167,0.989788059423985,-1.92136224560501,1.92627389459481
120,0.6,skewed,null,0,10000,-0.000117722293829718,0.0216206089093888,4,0.6722,0.8184,0.8561,0.2341,0.1587,0.1336,0.538,0.1186,-0.00537326298764901,0.986875983677173,-1.8281333413831,2.08746652732277
120,0.6,skewed,moderate,-0.035,10000,-0.000203236628906627,0.0218117702555222,4,0.6572,0.8133,0.856,0.7748,0.6791,0.6321,0.9435,0.5996,-0.00927644051362219,0.995573110189558,-1.84787324217511,2.05692400240365
120,0.6,skewed,application,-0.07,10000,0.00014175995658037,0.0218019252197615,4,0.6648,0.8163,0.8553,0.9786,0.9557,0.9428,0.9986,0.9318,0.00647042716416848,0.995145909047423,-1.82268121825952,2.08117235898327
120,0.6,t3,null,0,10000,-0.000129035401185532,0.0218370954490915,4,0.6659,0.8251,0.8638,0.2189,0.1348,0.1088,0.1734,0.0723,-0.00588963332883703,0.996754918572876,-1.87383464433855,1.9132937421507
120,0.6,t3,moderate,-0.035,10000,-0.000534364808910825,0.0214622528282198,4,0.6646,0.8255,0.8657,0.8102,0.7168,0.6728,0.8332,0.6212,-0.0243903049814497,0.97935862259481,-1.97094620196718,1.8988462537621
120,0.6,t3,application,-0.07,10000,0.000151179039619379,0.0218000875994929,4,0.6566,0.8224,0.8627,0.9866,0.9737,0.9665,0.9975,0.9596,0.00690034751845845,0.995059138833646,-1.95242331509472,1.92769549186811
