analysis_role,site_id,lon,lat,moderate_anomaly,extreme_anomaly,anomaly_difference,profile_contribution,contribution_h_0_125,contribution_h_0_250,contribution_h_0_500,contribution_h_1_000,contribution_h_2_000
confirmatory,39,109.8,22.2,4.81787876803001,3.66123645258786,-1.15664231544214,-0.00131384456400358,-0.00022935582113904,-0.000702807576196977,-0.00113312830350951,-0.00186713512684657,-0.0026367959923258
confirmatory,40,109.8,24,4.69190594874189,3.71089455107271,-0.981011397669175,-0.00161296620796647,-0.000917461850287733,-0.00132657176579144,-0.00142179097885987,-0.00197975826633233,-0.00241924817856096
confirmatory,41,109.8,25.8,2.74176227649561,2.03570510410301,-0.7060571723926,-0.00107101443624624,-0.000806495371522021,-0.00103775446830564,-0.000903024270355257,-0.00122630958306939,-0.00138148848797888
confirmatory,42,109.8,27.6,2.90483657168561,2.60079029728483,-0.304046274400777,-0.00106151543609148,-0.000613511688507087,-0.00105076058739627,-0.00123781271286263,-0.00123834854602771,-0.0011671436456637
confirmatory,43,109.8,29.4,1.33853292825126,1.36131508263837,0.0227821543871023,-0.00107234537267163,-0.000820606692962657,-0.00117443941637217,-0.00146701399635525,-0.00106467208571095,-0.000834994671957128
confirmatory,44,109.8,31.2,0.665780258794796,0.789073434911094,0.123293176116299,-0.000940312968228288,-0.000411100525727943,-0.00104259250064695,-0.00144219462695625,-0.00102884147515816,-0.00077683571265213
confirmatory,45,109.8,33,0.458124372214709,0.950308841476751,0.492184469262042,-0.000862167753520523,-0.000824610155044326,-0.00115314173058648,-0.00101939219281048,-0.00073803898107892,-0.000575655708082403
confirmatory,46,109.8,34.8,-0.273261368020981,0.349079782133317,0.622341150154298,-0.000674045269411861,-0.000972387143978863,-0.000567564751629495,-0.000525055405044999,-0.000672462611544345,-0.000632756434861602
confirmatory,47,109.8,36.6,-3.2419048374534,-2.4249043289778,0.817000508475607,-0.000796879087656967,3.56458825864255e-05,0.000185898107307065,-0.000828516384493218,-0.00165365054953186,-0.00172377249415325
confirmatory,48,109.8,38.4,-4.52173409389881,-3.75773805309396,0.763996040804851,-0.000547421460423309,0.000658111997280769,0.000770263181644263,-0.000458295230630318,-0.00168192430307308,-0.00202526294733818
confirmatory,49,109.8,40.2,-5.68890699440386,-5.08810407834648,0.600802916057377,-6.82021587990935e-05,0.0014556014036032,0.000987559550387176,0.000153098976222592,-0.00113648697149535,-0.00180078375271309
confirmatory,50,109.8,42,-7.95811977967562,-7.6475445580182,0.310575221657425,0.000339684408829009,0.00109457329170609,0.00104269845634057,0.000945100255818571,-0.000195186997361663,-0.00118876296235851
confirmatory,51,111.4,22.2,3.39809149097373,2.25135716218382,-1.14673432878991,-0.00076311578462674,6.20978078000265e-05,-0.000202814969359499,-0.000567439173075428,-0.00121645435085535,-0.00189096823764345
confirmatory,52,111.4,24,4.06533831964136,3.07993760662827,-0.98540071301309,-0.00118095948156892,-0.000418741472409938,-0.000699340361120985,-0.00103192923708701,-0.00165673434579886,-0.0020980519914278
confirmatory,53,111.4,25.8,1.41172775499489,0.596799588951498,-0.814928166043393,-0.000421091373526435,-7.84865681703064e-05,-0.000211720989111759,-0.00021693550448728,-0.000686230702812228,-0.000912083103050603
confirmatory,54,111.4,27.6,2.70978389900644,2.38819005864847,-0.321593840357968,-0.00100935594309522,-0.000511392702816967,-0.00104329376921866,-0.00115812035304134,-0.0011988410192295,-0.00113513187116965
confirmatory,55,111.4,29.4,3.52771994186358,3.68435350688079,0.156633565017213,-0.000722551863485421,-0.000723949310105896,-0.000608599418196532,-0.000878874999517776,-0.000762758949250243,-0.000638576640356659
confirmatory,56,111.4,31.2,1.19145770954035,1.68509417986059,0.493636470320243,-0.0011302664115937,-0.00140798465555209,-0.00166504635509125,-0.00134993535461823,-0.000728091741690775,-0.000500273951016142
confirmatory,57,111.4,33,2.20305070492274,2.82252613061817,0.619475425695423,-0.000256945432821836,-0.000670032920123922,-0.000662456585285541,-0.000123250988221241,8.53243009301824e-05,8.56890285913402e-05
confirmatory,58,111.4,34.8,-0.131017084110447,0.682509289709075,0.813526373819522,-0.000557782317015894,-0.000515851630459952,-0.000624384450967818,-0.000510781256022075,-0.000584803913679135,-0.000553090333950491
confirmatory,59,111.4,36.6,-4.23133790712632,-3.53563915157881,0.695698755547516,-0.0011347451388568,-2.49154455874094e-05,-0.000360978774894488,-0.00132383649779945,-0.00198167579502053,-0.00198231918098211
confirmatory,60,111.4,38.4,-6.16742366826148,-5.40115951079598,0.766264157465505,-0.00142231673763298,-0.000520719960480119,-0.000267163139119263,-0.0012410561966932,-0.00239221111891402,-0.00269043327295829
confirmatory,61,111.4,40.2,-4.98561991876653,-4.34841370776567,0.637206211000859,-0.000162539435237511,0.0010898654649223,0.000881690984662736,7.8726525470845e-05,-0.00113892403178698,-0.00172405611945646
confirmatory,62,111.4,42,-7.37636353665975,-7.01330266142729,0.363060875232461,0.000218079714944045,0.000944098793936389,0.000963248054737216,0.000814964573714551,-0.000348864082015936,-0.001283048765652
confirmatory,63,113,22.2,4.44846485489869,3.31000557885049,-1.1384592760482,-0.00103171605801468,-5.32330039328595e-05,-0.000298150816370352,-0.000801875871709376,-0.00161522102925066,-0.00239009956881015
confirmatory,64,113,24,4.0920411623542,3.06684395890099,-1.02519720345321,-0.00111773023860385,-0.000257883103611839,-0.000502417897411141,-0.000967062674151309,-0.00168771067112072,-0.00217357684672425
confirmatory,65,113,25.8,3.58934898159422,2.74040639450705,-0.848942587087164,-0.00116193384322982,-0.000488694393314739,-0.000725657670100276,-0.00109249192713837,-0.00164707180453764,-0.00185575342105808
confirmatory,66,113,27.6,4.29271035225319,3.86090458390099,-0.431805768352195,-0.00115870645220943,-0.000508384550516214,-0.000845839569728333,-0.00130345221368335,-0.00158790511442835,-0.00154795081269089
confirmatory,67,113,29.4,4.37239341569715,4.30692668617372,-0.0654667295234318,-0.00103350449730363,-0.000947242352967557,-0.000914701026945019,-0.00116151921749627,-0.00114486641475928,-0.000999193474350011
confirmatory,68,113,31.2,2.76852583888138,3.10937774551716,0.34085190663578,-0.000833742873081639,-0.00122105557498466,-0.00113796796308527,-0.000914765231868823,-0.000520155122622568,-0.000374770472846874
confirmatory,69,113,33,2.46947573407137,3.17314740587069,0.70367167179932,-0.000236481270586089,-0.00100101764691823,-0.000721192318548344,2.51953409960487e-05,0.000275317869395097,0.000239290402144982
confirmatory,70,113,34.8,1.44662564455718,2.27580107758786,0.829175433030681,0.000130027070142888,-0.000181624278344833,-0.000139354890830374,0.00043543236430867,0.000328399382217028,0.000207282773363948
