basis,year,bandwidth_km,total_effect,structured_component,residual_component,analysis_role
latitude,2024,1006.3981202503873,-0.04673102314546673,-0.11527562803332177,0.06854460488785478,held_out
latitude,2024,2012.7962405007745,-0.07336237295476848,-0.13449028440517055,0.06112791145040197,held_out
latitude,2025,125.7997650312984,-0.11988279776377771,-0.034570037744653816,-0.08531276001912398,held_out
latitude,2025,251.5995300625968,-0.14827745530546402,-0.054930284611626,-0.09334717069383897,held_out
latitude,2025,503.1990601251936,-0.1870915582163342,-0.09241607562813299,-0.09467548258820184,held_out
latitude,2025,1006.3981202503873,-0.22606001762323102,-0.13692347377042502,-0.08913654385280577,held_out
latitude,2025,2012.7962405007745,-0.24524372120591123,-0.15910890124148988,-0.086134819964422,held_out
latitude_longitude,1991,125.7997650312984,0.07281041033487624,-0.012426692289633305,0.08523710262450952,held_out
latitude_longitude,1991,251.5995300625968,0.07721930439696767,-0.026077690677435945,0.10329699507440443,held_out
latitude_longitude,1991,503.1990601251936,0.08419294833409774,-0.0414917356535474,0.1256846839876455,held_out
latitude_longitude,1991,1006.3981202503873,0.0417117272560617,-0.0646628711980036,0.10637459845406567,held_out
latitude_longitude,1991,2012.7962405007745,0.004766025278982446,-0.08392364818197605,0.08868967346095835,held_out
latitude_longitude,1992,125.7997650312984,0.046962210265220135,-0.02415055443035571,0.07111276469557536,held_out
latitude_longitude,1992,251.5995300625968,0.03576211147413285,-0.04600742471244016,0.08176953618657283,held_out
latitude_longitude,1992,503.1990601251936,0.029034860969233103,-0.08118168166892398,0.11021654263815656,held_out
latitude_longitude,1992,1006.3981202503873,-0.020332868128932226,-0.1235263009078063,0.10319343277887462,held_out
latitude_longitude,1992,2012.7962405007745,-0.05810118311111042,-0.14698852599909074,0.08888734288798066,held_out
latitude_longitude,1993,125.7997650312984,-0.016880659568624858,-0.028921136228083535,0.012040476659459289,held_out
latitude_longitude,1993,251.5995300625968,-0.007764407688317205,-0.0453390613714817,0.03757465368316482,held_out
latitude_longitude,1993,503.1990601251936,-0.004533389415210395,-0.06783305974932581,0.06329967033411493,held_out
latitude_longitude,1993,1006.3981202503873,-0.03870833447015266,-0.09586790730769623,0.05715957283754288,held_out
latitude_longitude,1993,2012.7962405007745,-0.06601950988657586,-0.1137033009101346,0.04768379102355832,held_out
latitude_longitude,1994,125.7997650312984,0.038272464224816914,-0.007960610720611716,0.046233074945429255,held_out
latitude_longitude,1994,251.5995300625968,0.04487437642391661,-0.019676072558774245,0.06455044898269172,held_out
latitude_longitude,1994,503.1990601251936,0.03785570979443411,-0.04994319998264988,0.08779890977708425,held_out
latitude_longitude,1994,1006.3981202503873,-0.01698280777912688,-0.0942789276644022,0.07729611988527534,held_out
latitude_longitude,1994,2012.7962405007745,-0.05631557693340917,-0.12082645362719883,0.06451087669378901,held_out
latitude_longitude,1995,125.7997650312984,0.007188224917916329,-0.009315013466463509,0.016503238384380375,held_out
latitude_longitude,1995,251.5995300625968,-0.012526020593260294,-0.029770199177160325,0.017244178583900288,held_out
latitude_longitude,1995,503.1990601251936,-0.0544034124062951,-0.07769948328257094,0.02329607087627567,held_out
latitude_longitude,1995,1006.3981202503873,-0.09620459253762814,-0.12156691783233205,0.02536232529470428,held_out
latitude_longitude,1995,2012.7962405007745,-0.1124900239085906,-0.135615913075548,0.023125889166957053,held_out
latitude_longitude,1996,125.7997650312984,-0.0692398000783243,-0.04503946285455742,-0.02420033722376586,held_out
latitude_longitude,1996,251.5995300625968,-0.061879549072442246,-0.07483074695913683,0.012951197886694943,held_out
latitude_longitude,1996,503.1990601251936,-0.06310095366619518,-0.1274341432304625,0.06433318956426748,held_out
latitude_longitude,1996,1006.3981202503873,-0.12582043820542843,-0.18339612337751054,0.0575756851720819,held_out
latitude_longitude,1996,2012.7962405007745,-0.16707741679952962,-0.21170308283091024,0.04462566603138115,held_out
latitude_longitude,1997,125.7997650312984,-0.07432589002648483,-0.03550833402664589,-0.03881755599983939,held_out
