lon,lat,candidate_id,era5_land_valid,coordinate_key,original_site_id,is_original_site
113.8,21.3,277,FALSE,"113.800000,21.300000",,FALSE
113.8,22.2,278,FALSE,"113.800000,22.200000",,FALSE
113.8,23.1,279,TRUE,"113.800000,23.100000",,FALSE
113.8,24,280,TRUE,"113.800000,24.000000",,FALSE
113.8,24.9,281,TRUE,"113.800000,24.900000",,FALSE
113.8,25.8,282,TRUE,"113.800000,25.800000",,FALSE
113.8,26.7,283,TRUE,"113.800000,26.700000",,FALSE
113.8,27.6,284,TRUE,"113.800000,27.600000",,FALSE
113.8,28.5,285,TRUE,"113.800000,28.500000",,FALSE
113.8,29.4,286,TRUE,"113.800000,29.400000",,FALSE
113.8,30.3,287,TRUE,"113.800000,30.300000",,FALSE
113.8,31.2,288,TRUE,"113.800000,31.200000",,FALSE
113.8,32.1,289,TRUE,"113.800000,32.100000",,FALSE
113.8,33,290,TRUE,"113.800000,33.000000",,FALSE
113.8,33.9,291,TRUE,"113.800000,33.900000",,FALSE
113.8,34.8,292,TRUE,"113.800000,34.800000",,FALSE
113.8,35.7,293,TRUE,"113.800000,35.700000",,FALSE
113.8,36.6,294,TRUE,"113.800000,36.600000",,FALSE
113.8,37.5,295,TRUE,"113.800000,37.500000",,FALSE
113.8,38.4,296,TRUE,"113.800000,38.400000",,FALSE
113.8,39.3,297,TRUE,"113.800000,39.300000",,FALSE
113.8,40.2,298,TRUE,"113.800000,40.200000",,FALSE
113.8,41.1,299,TRUE,"113.800000,41.100000",,FALSE
113.8,42,300,TRUE,"113.800000,42.000000",,FALSE
114.6,20.4,301,FALSE,"114.600000,20.400000",,FALSE
114.6,21.3,302,FALSE,"114.600000,21.300000",,FALSE
114.6,22.2,303,FALSE,"114.600000,22.200000",,FALSE
114.6,23.1,304,TRUE,"114.600000,23.100000",,FALSE
114.6,24,305,TRUE,"114.600000,24.000000",75,TRUE
114.6,24.9,306,TRUE,"114.600000,24.900000",,FALSE
114.6,25.8,307,TRUE,"114.600000,25.800000",76,TRUE
114.6,26.7,308,TRUE,"114.600000,26.700000",,FALSE
114.6,27.6,309,TRUE,"114.600000,27.600000",77,TRUE
114.6,28.5,310,TRUE,"114.600000,28.500000",,FALSE
