file,year,month,analysis_role,mean_extreme,mean_moderate,relative_effect,absolute_effect,n_extreme,n_moderate,metric,configuration
200806,2008,6,confirmatory,16.0631913544986,14.9809764974892,0.0722392734005546,1.0822148570094,8,14,graph_h_2.000,primary_121_reproduction
200807,2008,7,confirmatory,13.2605150342589,14.5884183693846,-0.0910244895301647,-1.32790333512571,8,15,graph_h_2.000,primary_121_reproduction
200808,2008,8,confirmatory,12.6313163669449,16.6757551051544,-0.242534068934569,-4.04443873820951,8,15,graph_h_2.000,primary_121_reproduction
200906,2009,6,confirmatory,23.0324853626941,25.9942567224518,-0.113939451755876,-2.96177135975765,8,14,graph_h_2.000,primary_121_reproduction
200907,2009,7,confirmatory,13.7851880845315,16.5112266689995,-0.165102123489483,-2.72603858446799,8,15,graph_h_2.000,primary_121_reproduction
200908,2009,8,confirmatory,14.4442975964715,18.4340773100309,-0.216435010359231,-3.9897797135594,8,15,graph_h_2.000,primary_121_reproduction
201006,2010,6,confirmatory,16.7319261142104,14.2700928175803,0.172516978557923,2.46183329663008,8,14,graph_h_2.000,primary_121_reproduction
201007,2010,7,confirmatory,9.29152287950461,14.6744438070203,-0.366822824653873,-5.38292092751573,8,15,graph_h_2.000,primary_121_reproduction
201008,2010,8,confirmatory,16.966715501911,21.6114058378279,-0.214918472716242,-4.64469033591684,8,15,graph_h_2.000,primary_121_reproduction
201106,2011,6,confirmatory,14.2315469217143,17.6157190951134,-0.192110929739896,-3.38417217339907,8,14,graph_h_2.000,primary_121_reproduction
201107,2011,7,confirmatory,13.8704468333046,15.7298588820061,-0.11820907375263,-1.85941204870152,8,15,graph_h_2.000,primary_121_reproduction
201108,2011,8,confirmatory,12.6452637947518,14.5730751424012,-0.13228583046555,-1.92781134764941,8,15,graph_h_2.000,primary_121_reproduction
201206,2012,6,confirmatory,12.011975352028,19.6625116686265,-0.389092525183629,-7.65053631659847,8,14,graph_h_2.000,primary_121_reproduction
201207,2012,7,confirmatory,9.88242746046986,14.5598455808035,-0.321254651663382,-4.67741812033368,8,15,graph_h_2.000,primary_121_reproduction
201208,2012,8,confirmatory,9.28668934594709,15.3745827416278,-0.395971292228782,-6.08789339568068,8,15,graph_h_2.000,primary_121_reproduction
201306,2013,6,confirmatory,15.7507971005751,14.2344583089038,0.106525921729167,1.51633879167137,8,14,graph_h_2.000,primary_121_reproduction
201307,2013,7,confirmatory,11.5645817711895,12.9502814203617,-0.107001508630804,-1.38569964917217,8,15,graph_h_2.000,primary_121_reproduction
201308,2013,8,confirmatory,10.5323262784292,15.2393211968329,-0.308871691698571,-4.70699491840365,8,15,graph_h_2.000,primary_121_reproduction
201406,2014,6,confirmatory,16.5772771874889,16.8037587906354,-0.0134780322645856,-0.226481603146496,8,14,graph_h_2.000,primary_121_reproduction
201407,2014,7,confirmatory,12.5883183066617,14.0681841326332,-0.105192383894008,-1.47986582597155,8,15,graph_h_2.000,primary_121_reproduction
201408,2014,8,confirmatory,16.8985653656691,15.7476412433082,0.0730854929051645,1.15092412236088,8,15,graph_h_2.000,primary_121_reproduction
201506,2015,6,discovery,15.3775501878053,22.1257551645869,-0.304993204823235,-6.74820497678159,8,14,graph_h_2.000,primary_121_reproduction
201507,2015,7,discovery,12.4907114831146,16.9342013083227,-0.262397366389186,-4.44348982520819,8,15,graph_h_2.000,primary_121_reproduction
201508,2015,8,discovery,12.973427864407,18.9842571232258,-0.316621778761361,-6.01082925881879,8,15,graph_h_2.000,primary_121_reproduction
201606,2016,6,confirmatory,20.0069635052863,19.6243759052664,0.0194955295325949,0.382587600019868,8,14,graph_h_2.000,primary_121_reproduction
201607,2016,7,confirmatory,12.251870322424,14.4963186363276,-0.154828847944822,-2.24444831390366,8,15,graph_h_2.000,primary_121_reproduction
201608,2016,8,confirmatory,12.1210726402309,10.4223232101369,0.162991436347109,1.69874943009403,8,15,graph_h_2.000,primary_121_reproduction
201706,2017,6,confirmatory,15.4457554850728,19.0257826285389,-0.188167142101999,-3.58002714346601,8,14,graph_h_2.000,primary_121_reproduction
201707,2017,7,confirmatory,10.5876991336288,13.9038062520718,-0.238503547756851,-3.316107118443,8,15,graph_h_2.000,primary_121_reproduction
201708,2017,8,confirmatory,16.0547149925911,15.218725747037,0.0549316190757205,0.835989245554098,8,15,graph_h_2.000,primary_121_reproduction
201806,2018,6,confirmatory,15.4937236464743,16.8673371365501,-0.0814362977958941,-1.37361349007584,8,14,graph_h_2.000,primary_121_reproduction
201807,2018,7,confirmatory,6.55360935968224,9.99068903138182,-0.344028290831929,-3.43707967169959,8,15,graph_h_2.000,primary_121_reproduction
201808,2018,8,confirmatory,7.86647919161897,11.0835034775384,-0.290253374525392,-3.21702428591943,8,15,graph_h_2.000,primary_121_reproduction
201906,2019,6,confirmatory,17.0160194804096,19.3821701709548,-0.122078728526021,-2.36615069054514,8,14,graph_h_2.000,primary_121_reproduction
201907,2019,7,confirmatory,13.7393475041707,15.7366006301734,-0.126917697979396,-1.99725312600271,8,15,graph_h_2.000,primary_121_reproduction
201908,2019,8,confirmatory,13.8393411694062,16.3818299716401,-0.155201757473703,-2.54248880223393,8,15,graph_h_2.000,primary_121_reproduction
202006,2020,6,confirmatory,18.1129479939744,20.3492556866534,-0.109896289432628,-2.23630769267901,8,14,graph_h_2.000,primary_121_reproduction
202007,2020,7,confirmatory,11.1016941345334,13.5013848765533,-0.177736636942127,-2.39969074201988,8,15,graph_h_2.000,primary_121_reproduction
202008,2020,8,confirmatory,14.9545207061172,15.6501029029953,-0.0444458545218249,-0.695582196878119,8,15,graph_h_2.000,primary_121_reproduction
202106,2021,6,confirmatory,14.9429026987234,19.5058577763928,-0.233927424775532,-4.56295507766935,8,14,graph_h_2.000,primary_121_reproduction
202107,2021,7,confirmatory,10.7777917671786,11.2272588355624,-0.0400335536008207,-0.449467068383775,8,15,graph_h_2.000,primary_121_reproduction
202108,2021,8,confirmatory,17.4024300740397,19.2823124206169,-0.0974925779424252,-1.87988234657718,8,15,graph_h_2.000,primary_121_reproduction
202206,2022,6,discovery,14.3757036209698,17.9736240154088,-0.200177793379594,-3.59792039443902,8,14,graph_h_2.000,primary_121_reproduction
202207,2022,7,discovery,14.4577771838063,14.2599512900881,0.0138728309581035,0.197825893718182,8,15,graph_h_2.000,primary_121_reproduction
202208,2022,8,discovery,7.68275559259393,13.7471695952386,-0.441139098534515,-6.06441400264464,8,15,graph_h_2.000,primary_121_reproduction
202306,2023,6,confirmatory,19.0271088846161,18.316351480513,0.0388045296498762,0.71075740410312,8,14,graph_h_2.000,primary_121_reproduction
202307,2023,7,confirmatory,10.9333632434255,17.0364881490577,-0.35823843812375,-6.1031249056322,8,15,graph_h_2.000,primary_121_reproduction
202308,2023,8,confirmatory,8.94154515704811,17.2304430699255,-0.481061217012178,-8.28889791287743,8,15,graph_h_2.000,primary_121_reproduction
202406,2024,6,confirmatory,17.3354209674275,20.4996359266878,-0.154354690521157,-3.16421495926028,8,14,graph_h_2.000,primary_121_reproduction
202407,2024,7,confirmatory,13.685165305494,13.8175116923235,-0.00957816354901897,-0.132346386829557,8,15,graph_h_2.000,primary_121_reproduction
202408,2024,8,confirmatory,12.5011420245355,13.2448996252643,-0.0561542647941351,-0.743757600728833,8,15,graph_h_2.000,primary_121_reproduction
202506,2025,6,confirmatory,14.744876849786,19.4178283988781,-0.240652633914615,-4.67295154909202,8,14,graph_h_2.000,primary_121_reproduction
202507,2025,7,confirmatory,8.42601443833856,11.1023743249186,-0.241061939388327,-2.67635988658005,8,15,graph_h_2.000,primary_121_reproduction
202508,2025,8,confirmatory,9.64385023808318,12.9277006872752,-0.254016590314807,-3.28385044919204,8,15,graph_h_2.000,primary_121_reproduction
199106,1991,6,confirmatory,2.40874832965,2.30063393231581,0.0469933072861193,0.10811439733419,8,14,graph_h_0.125,dense_465_fixed_labels
199107,1991,7,confirmatory,2.25895555160209,2.12970982189179,0.0606870139686426,0.129245729710302,8,15,graph_h_0.125,dense_465_fixed_labels
199108,1991,8,confirmatory,2.23032805973996,2.14010128162388,0.0421600505035984,0.0902267781160782,8,15,graph_h_0.125,dense_465_fixed_labels
199206,1992,6,confirmatory,2.21048007846233,2.19264729821776,0.00813299077287133,0.0178327802445661,8,14,graph_h_0.125,dense_465_fixed_labels
199207,1992,7,confirmatory,2.23875791614154,2.30144264781521,-0.0272371469839489,-0.0626847316736714,8,15,graph_h_0.125,dense_465_fixed_labels
199208,1992,8,confirmatory,2.14866328290884,2.0423518203467,0.0520534520561176,0.106311462562141,8,15,graph_h_0.125,dense_465_fixed_labels
199306,1993,6,confirmatory,2.24109550313529,2.54179191859404,-0.118300956604301,-0.300696415458756,8,14,graph_h_0.125,dense_465_fixed_labels
199307,1993,7,confirmatory,2.22755417802045,2.02522981392702,0.099901928513046,0.202324364093427,8,15,graph_h_0.125,dense_465_fixed_labels
