file,date,n_sites,wbt_mean,spatial_variance,lambda_weighted,graph_h_0.125,graph_h_0.250,graph_h_0.500,graph_h_1.000,graph_h_2.000
era5_201508_consistent.csv,2015-08-15,121,21.3488816319859,23.7550002495005,9.1942014724105,3.04034154652528,5.18906311270873,10.1507593860579,17.5055509971612,21.982425194005
era5_201508_consistent.csv,2015-08-16,121,21.5179529575806,21.229332991348,7.91853517008558,3.1237442900586,4.76511704827464,8.69196186718443,15.1853055048867,19.4649475917739
era5_201508_consistent.csv,2015-08-17,121,20.8481767956915,29.0912702287694,12.3615477700984,3.50349652343604,6.07548362416636,12.2512955255793,21.28275037777,26.8712116684321
era5_201508_consistent.csv,2015-08-18,121,21.0718985735187,27.0272043798884,10.9937093622961,3.5654578996138,6.11601686293626,11.6681394375609,19.7777461326112,24.9459664592276
era5_201508_consistent.csv,2015-08-19,121,19.9083399154848,28.3318315623021,9.91296759794863,3.83387230207122,6.82287620239976,12.678633301252,21.1132038983243,26.3075488267746
era5_201508_consistent.csv,2015-08-20,121,19.7693929555568,25.1457824596315,8.80505541385251,4.07828726005348,6.75772101277866,11.8526393711143,18.9340865142889,23.3772341159385
era5_201508_consistent.csv,2015-08-21,121,19.8491457686951,22.3770079892662,8.41656777093834,3.62420552455948,6.02289470629589,10.9141311624395,17.194924449052,20.9100129276107
era5_201508_consistent.csv,2015-08-22,121,19.9882564185251,20.838920157171,8.00031765612213,3.24388579473125,5.58596552951844,10.2660634111216,16.1438804307708,19.5353454258573
era5_201508_consistent.csv,2015-08-23,121,20.1360666099263,19.0517477084484,7.59846603068704,2.87422534912608,4.96606646833592,9.08251417031307,14.427074583199,17.7255782022262
era5_201508_consistent.csv,2015-08-24,121,19.9964023758599,17.1767857591772,6.60361173864147,2.58219079783597,4.30028032657776,7.81791118563101,12.6904260190565,15.8550905911801
era5_201508_consistent.csv,2015-08-25,121,19.8399312000829,14.5061235469424,5.28929544578915,2.4814688506814,3.81072345757415,6.6401091040882,10.748820255445,13.4007578738918
era5_201508_consistent.csv,2015-08-26,121,19.9346662984198,14.4646004400445,4.90392141889736,2.52962186843417,4.04113329313421,6.88412348665069,10.6767311667632,13.2993228304944
era5_201508_consistent.csv,2015-08-27,121,20.1970075835921,17.1087430403932,5.90887537185941,2.50776491499793,4.08667633624382,7.38070627526475,12.1944895006785,15.589355122929
