simulation,delta,p_value,rejects_05
68,0.160599348027479,0.782,FALSE
69,0.0279289278160019,0.611,FALSE
70,0.195319915353559,0.825,FALSE
71,0.117526373990552,0.716,FALSE
72,-0.0198454377801195,0.448,FALSE
73,-0.0683913653884768,0.357,FALSE
74,0.0192277272311234,0.537,FALSE
75,0.102727725529626,0.693,FALSE
76,0.17568466677625,0.842,FALSE
77,-0.0334944207124548,0.416,FALSE
78,0.0735135821201532,0.648,FALSE
79,-0.113731930368471,0.239,FALSE
80,-0.118012775289135,0.283,FALSE
81,0.0631174361237841,0.625,FALSE
82,-0.0399293223454739,0.456,FALSE
83,0.377833085551476,0.965,FALSE
84,0.18188850884432,0.816,FALSE
85,0.0263206478167742,0.543,FALSE
86,0.038852695650718,0.536,FALSE
87,-0.234693844686045,0.143,FALSE
88,-0.0260600853985073,0.445,FALSE
89,-0.0918258501870648,0.318,FALSE
90,-0.241752795221302,0.1,FALSE
91,-0.22453107061343,0.101,FALSE
92,0.425151108035352,0.947,FALSE
93,0.224186174709949,0.913,FALSE
94,-0.119152287316768,0.248,FALSE
95,-0.177578371908438,0.199,FALSE
96,0.0242785215943983,0.538,FALSE
97,0.300083536509449,0.926,FALSE
98,0.204121846692161,0.812,FALSE
99,-0.0722255488081989,0.327,FALSE
100,0.204130198115997,0.889,FALSE
101,0.00816527207513909,0.517,FALSE
102,0.168656192949515,0.768,FALSE
103,-0.25154941861897,0.112,FALSE
104,0.0420168151386845,0.56,FALSE
105,0.216086182280573,0.861,FALSE
106,0.341416083927306,0.976,FALSE
107,0.191111995449657,0.931,FALSE
108,0.230004075340675,0.842,FALSE
109,0.00561681438808982,0.521,FALSE
110,-0.263945164435341,0.04,TRUE
111,-0.0841553911237006,0.293,FALSE
112,-0.0802167459502896,0.348,FALSE
113,0.0108033622064914,0.518,FALSE
114,0.162121251998601,0.823,FALSE
115,-0.120919214755612,0.301,FALSE
116,0.171001952443653,0.779,FALSE
117,0.154459211726423,0.774,FALSE
118,-0.139420583136762,0.219,FALSE
119,0.1265937181704,0.746,FALSE
120,-0.0255076930324984,0.471,FALSE
121,-0.0600249855825772,0.368,FALSE
122,-0.239245745002901,0.077,FALSE
123,-0.00531831619265988,0.502,FALSE
124,-0.297659337163516,0.103,FALSE
125,-0.0684174373331922,0.363,FALSE
126,0.159293625512302,0.764,FALSE
127,-0.184506246608268,0.165,FALSE
128,-0.045180471063232,0.404,FALSE
129,-0.394709101388718,0.062,FALSE
130,0.203277093466089,0.87,FALSE
131,0.172380155565564,0.846,FALSE
132,-0.18987732120324,0.17,FALSE
133,0.11823862654971,0.714,FALSE
134,0.198322869579384,0.872,FALSE
135,0.0333480930520356,0.553,FALSE
136,-0.165805051611713,0.184,FALSE
137,0.174264543888984,0.827,FALSE
138,0.454958280788855,0.981,FALSE
139,-0.163234399569958,0.26,FALSE
140,0.113356726233036,0.702,FALSE
141,-0.415349460134047,0.016,TRUE
142,-0.0110266939920754,0.447,FALSE
143,-0.126197476551348,0.292,FALSE
144,-0.240160544184424,0.148,FALSE
145,0.131988637495269,0.761,FALSE
146,0.0407095390644307,0.534,FALSE
147,0.241974507486199,0.864,FALSE
148,-0.09025581412543,0.296,FALSE
149,0.231608840901562,0.868,FALSE
150,0.105282583829913,0.727,FALSE
151,-0.185076945519595,0.156,FALSE
152,-0.245607837234261,0.079,FALSE
153,-0.18068021262353,0.153,FALSE
154,0.199227738788692,0.865,FALSE
155,-0.36203091784618,0.038,TRUE
156,0.0696744662085137,0.647,FALSE
157,-0.346468479935103,0.041,TRUE
158,-0.194459031903715,0.184,FALSE
159,0.107562773430346,0.705,FALSE
160,0.101207208614153,0.718,FALSE
161,-0.0379710798341463,0.376,FALSE
162,0.215318424570902,0.92,FALSE
163,0.220105452747427,0.896,FALSE
164,-0.0121666770832414,0.465,FALSE
165,-0.104077134206309,0.322,FALSE
166,-0.120898751835411,0.274,FALSE
167,0.0195219740300275,0.535,FALSE
168,0.124349195489171,0.724,FALSE
169,-0.293230688594933,0.063,FALSE
170,0.117579209469898,0.685,FALSE
171,-0.444410840810368,0.008,TRUE
172,-0.136536388332245,0.228,FALSE
173,-0.0594394187066044,0.371,FALSE
174,0.0159354121272532,0.52,FALSE
175,0.208384819122031,0.818,FALSE
176,-0.274032821428498,0.074,FALSE
177,-0.0721218553423147,0.374,FALSE
178,-0.017632086905195,0.46,FALSE
179,0.361414488245515,0.978,FALSE
180,0.0656337703421369,0.633,FALSE
181,0.119362176466533,0.723,FALSE
182,0.192067099991147,0.834,FALSE
183,0.0709391304096343,0.649,FALSE
