year,method,outcome,subset,mae,offset
2006,mean,A,all,0.027147051510713657,0
2006,mean,A,high,0.023869165816696104,0
2006,mean,A_new344,all,0.02738618309160233,0
2006,mean,A_new344,high,0.024160651649695993,0
2006,mean,C,all,0.03007439134335795,0
2006,mean,C,high,0.026758003869531873,0
2006,simple,A,all,0.008079372362441477,0
2006,simple,A,high,0.006954015709002375,0
2006,simple,A_new344,all,0.010039951286093494,0
2006,simple,A_new344,high,0.008724850330091355,0
2006,simple,C,all,0.01349547224630443,0
2006,simple,C,high,0.011860664185041244,0
2006,variogram,A,all,0.00813146232435931,0
2006,variogram,A,high,0.006993300439155579,0
2006,variogram,A_new344,all,0.010095272142425275,0
2006,variogram,A_new344,high,0.008742024228234078,0
2006,variogram,C,all,0.01368852222726562,0
2006,variogram,C,high,0.012072900607396912,0
2007,graph,A,all,0.007932128505255185,0
2007,graph,A,high,0.006973835296770246,0
2007,graph,A_new344,all,0.009965721933094914,0
2007,graph,A_new344,high,0.008762217694078426,0
2007,graph,C,all,0.013423500957302398,0
2007,graph,C,high,0.011932490721994687,0
2007,interpolation,A,all,0.014432190806614623,0
2007,interpolation,A,high,0.015488836061276441,0
2007,interpolation,A_new344,all,0.019207962261514056,0
2007,interpolation,A_new344,high,0.020614263109895996,0
2007,interpolation,C,all,0.018992031170205606,0
2007,interpolation,C,high,0.020403698929217524,0
2007,mean,A,all,0.02429597474140714,0
2007,mean,A,high,0.020387571747991495,0
2007,mean,A_new344,all,0.024463241177650287,0
2007,mean,A_new344,high,0.020363149558133287,0
2007,mean,C,all,0.027267876361185543,0
2007,mean,C,high,0.024147859165271728,0
2007,simple,A,all,0.008046972205858845,0
2007,simple,A,high,0.00710855360116186,0
2007,simple,A_new344,all,0.010105978516472153,0
2007,simple,A_new344,high,0.008927337826465364,0
2007,simple,C,all,0.013613681916553584,0
2007,simple,C,high,0.012223283410261257,0
2007,variogram,A,all,0.007829586006788023,0
2007,variogram,A,high,0.006712036604066212,0
2007,variogram,A_new344,all,0.009832036413752535,0
2007,variogram,A_new344,high,0.00842117898500656,0
2007,variogram,C,all,0.01312171759280493,0
2007,variogram,C,high,0.0117285951026791,0
2008,graph,A,all,0.008189211045999144,0
2008,graph,A,high,0.007536213486169572,0
2008,graph,A_new344,all,0.010124689035712954,0
2008,graph,A_new344,high,0.009292436521052628,0
2008,graph,C,all,0.013824145985747006,0
2008,graph,C,high,0.012912427225991245,0
2008,interpolation,A,all,0.014528254554240285,0
2008,interpolation,A,high,0.015003164103881491,0
2008,interpolation,A_new344,all,0.01933581456500824,0
2008,interpolation,A_new344,high,0.019967876933734696,0
2008,interpolation,C,all,0.018812889408306784,0
2008,interpolation,C,high,0.019623808966750343,0
2008,mean,A,all,0.025088662692837518,0
2008,mean,A,high,0.02202813568698382,0
2008,mean,A_new344,all,0.025372415249968697,0
2008,mean,A_new344,high,0.022235641085404042,0
2008,mean,C,all,0.027801573813344485,0
2008,mean,C,high,0.024467147189485006,0
2008,simple,A,all,0.00825679388124484,0
2008,simple,A,high,0.007640408177812128,0
2008,simple,A_new344,all,0.010215956946511437,0
2008,simple,A_new344,high,0.009423835588411344,0
2008,simple,C,all,0.013728173211079166,0
2008,simple,C,high,0.012677592913779694,0
2008,variogram,A,all,0.00814601372163986,0
2008,variogram,A,high,0.007491436539431489,0
2008,variogram,A_new344,all,0.010065341144884634,0
2008,variogram,A_new344,high,0.009182073747588148,0
2008,variogram,C,all,0.013756573852417965,0
2008,variogram,C,high,0.013128383691096238,0
2009,graph,A,all,0.008591076426937166,0
2009,graph,A,high,0.007767023116911882,0
2009,graph,A_new344,all,0.010638363703735026,0
2009,graph,A_new344,high,0.009747881572619473,0
2009,graph,C,all,0.014070573800581415,0
2009,graph,C,high,0.013498549544961817,0
2009,interpolation,A,all,0.014493293482082757,0
2009,interpolation,A,high,0.014196160100066914,0
2009,interpolation,A_new344,all,0.019289284487653935,0
2009,interpolation,A_new344,high,0.01889382638535525,0
2009,interpolation,C,all,0.01854532589017499,0
2009,interpolation,C,high,0.018283385853954868,0
2009,mean,A,all,0.03152444901278105,0
2009,mean,A,high,0.02678384895625916,0
2009,mean,A_new344,all,0.03156835925975304,0
2009,mean,A_new344,high,0.02697630461392099,0
2009,mean,C,all,0.03403280381299292,0
2009,mean,C,high,0.029511800084399926,0
2009,simple,A,all,0.008644885252306625,0
2009,simple,A,high,0.007806365221013554,0
2009,simple,A_new344,all,0.01070787678111508,0
2009,simple,A_new344,high,0.009764815761207687,0
2009,simple,C,all,0.014074665900748235,0
2009,simple,C,high,0.013352629442837395,0
2009,variogram,A,all,0.008479045212979472,0
2009,variogram,A,high,0.007723495591869378,0
2009,variogram,A_new344,all,0.010480754593384798,0
2009,variogram,A_new344,high,0.009644344350469288,0
2009,variogram,C,all,0.013867931055063263,0
2009,variogram,C,high,0.013651079861833431,0
2010,graph,A,all,0.007804200816654485,0
2010,graph,A,high,0.0071467146295068566,0
2010,graph,A_new344,all,0.009712399669599529,0
2010,graph,A_new344,high,0.008928758728883355,0
2010,graph,C,all,0.01303363380874368,0
2010,graph,C,high,0.011795596920901987,0
2010,interpolation,A,all,0.013816639663460882,0
2010,interpolation,A,high,0.013935794082138497,0
2010,interpolation,A_new344,all,0.018388718441489867,0
2010,interpolation,A_new344,high,0.018547302374305054,0
2010,interpolation,C,all,0.01859800011008651,0
2010,interpolation,C,high,0.018176837349515484,0
2010,mean,A,all,0.02895401752852374,0
2010,mean,A,high,0.02389522121433513,0
2010,mean,A_new344,all,0.02915105780995307,0
2010,mean,A_new344,high,0.024201880118149104,0
2010,mean,C,all,0.03100634998950298,0
2010,mean,C,high,0.02601568150222125,0
2010,simple,A,all,0.007914394796517135,0
2010,simple,A,high,0.007136661076769224,0
2010,simple,A_new344,all,0.009820214113261064,0
2010,simple,A_new344,high,0.008896553546595942,0
2010,simple,C,all,0.013158247095147882,0
2010,simple,C,high,0.011475386768473147,0
2010,variogram,A,all,0.007811044891626542,0
2010,variogram,A,high,0.007244174313032699,0
2010,variogram,A_new344,all,0.009722855067489143,0
2010,variogram,A_new344,high,0.009079372821903974,0
2010,variogram,C,all,0.013014349047270328,0
2010,variogram,C,high,0.011982742774269901,0
2011,graph,A,all,0.007868924467234244,0
2011,graph,A,high,0.006744195543189684,0
2011,graph,A_new344,all,0.009867152122895751,0
2011,graph,A_new344,high,0.008537969491678381,0
2011,graph,C,all,0.013871658283821949,0
2011,graph,C,high,0.012461654159050614,0
2011,interpolation,A,all,0.01359384822074727,0
2011,interpolation,A,high,0.014199757691921115,0
2011,interpolation,A_new344,all,0.01809220284789961,0
2011,interpolation,A_new344,high,0.018898614460117702,0
2011,interpolation,C,all,0.017751622028159247,0
2011,interpolation,C,high,0.018383207340903696,0
2011,mean,A,all,0.024859615253044462,0
2011,mean,A,high,0.018786242581348575,0
2011,mean,A_new344,all,0.025157094466142765,0
