dense_site_id,lon,lat,original_site_id,is_original_site,row,col,land_area_km2,cell_area_km2,land_fraction,weight,coslat_weight
104,108.2,26.7,,False,7,4,7938.947398982178,7938.947398982178,1.0,0.002464792821281112,0.002289896733387888
105,108.2,27.6,30.0,True,8,4,7876.592565884155,7876.592565884155,1.0,0.0024454336118962645,0.00227152414741709
106,108.2,28.5,,False,9,4,7812.301994771332,7812.301994771332,1.0,0.0024254734168992218,0.0022525910968524618
107,108.2,29.4,31.0,True,10,4,7746.088816070434,7746.088816070434,1.0,0.0024049163128734286,0.00223310225314093
108,108.2,30.3,,False,11,4,7677.966622197205,7677.966622197205,1.0,0.0023837665198353513,0.002213062424863061
109,108.2,31.2,32.0,True,12,4,7607.949470217224,7607.949470217224,1.0,0.002362028402060578,0.0021924765565466218
110,108.2,32.1,,False,13,4,7536.051884413391,7536.051884413391,1.0,0.0023397064688809414,0.002171349727446585
111,108.2,33.0,33.0,True,14,4,7462.288858749634,7462.288858749634,1.0,0.0023168053754494223,0.0021496871502919043
112,108.2,33.9,,False,15,4,7386.6758592148435,7386.6758592148435,1.0,0.002293329923467869,0.002127494169999349
113,108.2,34.8,34.0,True,16,4,7309.228826034668,7309.228826034668,1.0,0.0022692850618736874,0.0021047762623547244
114,108.2,35.7,,False,17,4,7229.964175737061,7229.964175737061,1.0,0.002244675887481129,0.0020815390326618067
115,108.2,36.6,35.0,True,18,4,7148.898803057678,7148.898803057678,1.0,0.002219507645572858,0.0020577882143593177
116,108.2,37.5,,False,19,4,7066.050082671509,7066.050082671509,1.0,0.0021937857304375674,0.0020335296676062807
117,108.2,38.4,36.0,True,20,4,6981.435870740478,6981.435870740478,1.0,0.00216751568585046,0.00200876937783612
118,108.2,39.3,,False,21,4,6895.074506255798,6895.074506255798,1.0,0.002140703205490007,0.0019835134542798396
119,108.2,40.2,37.0,True,22,4,6806.984812172058,6806.984812172058,1.0,0.002113354133290046,0.001957768128458664
120,108.2,41.1,,False,23,4,6717.1860963112185,6717.1860963112185,1.0,0.002085474463720446,0.0019315397526465054
121,108.2,42.0,38.0,True,24,4,3324.389859362854,3324.389859362854,1.0,0.0010321182203005656,0.0019048347983026304
122,109.0,22.2,,False,2,5,8221.257918591522,8221.257918591522,1.0,0.002552441335263515,0.0023731989353998843
123,109.0,23.1,,False,3,5,8168.762757271454,8168.762757271454,1.0,0.0025361432430516576,0.002357693865660339
124,109.0,24.0,,False,4,5,8114.273037817261,8114.273037817261,1.0,0.0025192259034353837,0.0023416070702383727
125,109.0,24.9,,False,5,5,8057.799622879181,8057.799622879181,1.0,0.00250169268892505,0.0023249425183100437
