year,method,threshold_c,mae,bias,outcome,subset
1991,variogram,13.75,0.005111744457934347,0.0022245648714619257,A,all
1991,variogram,14.0,0.004872661195429792,0.002445439714720971,A,all
1991,variogram,14.25,0.005805691281992883,0.0025482606328398154,A,all
1991,variogram,14.5,0.006394824090000213,0.00213935980916521,A,all
1991,variogram,14.75,0.006671706548644328,0.0016417761812452985,A,all
1991,variogram,15.0,0.0073815741687658564,7.855210453767304e-05,A,all
1991,variogram,15.25,0.0067077420477707145,0.0003917089534117,A,all
1991,variogram,15.5,0.006546677256712989,0.000985552799893097,A,all
1991,variogram,15.75,0.006555182476891069,0.00034649194370857134,A,all
1991,variogram,16.0,0.007755694939821912,0.0005418333917461543,A,all
1991,variogram,16.25,0.008959010068711628,-0.001226893874446977,A,all
1991,variogram,16.5,0.009122658568289062,-0.0013670523883364339,A,all
1991,variogram,16.75,0.008666533118819014,-0.0006625680048046508,A,all
1991,variogram,17.0,0.008879559320626213,-0.0013473169853895496,A,all
1991,variogram,17.25,0.009410889862448691,-0.0010274198165802983,A,all
1991,variogram,17.5,0.009327953211901281,-0.001393455568076835,A,all
1991,variogram,17.75,0.009705786722150082,-0.001596334561748938,A,all
1991,variogram,18.0,0.010295385602762863,-0.0012149269506319413,A,all
1991,variogram,18.25,0.01075503936831826,-0.001727708959296052,A,all
1991,variogram,18.5,0.010438794477987429,0.00013155637731121915,A,all
1991,variogram,18.75,0.011920765560779959,-0.0002847696815673903,A,all
1991,variogram,19.0,0.01084041127063596,-0.0008723659328804849,A,all
1991,variogram,19.25,0.011339604578283612,-0.00015828838880341776,A,all
1991,variogram,19.5,0.011939975002904469,-0.00022702765861636748,A,all
1991,variogram,19.75,0.011658135756761938,0.000965723367295807,A,all
1991,variogram,20.0,0.010893147951825083,0.00011595923580036188,A,all
1991,variogram,20.25,0.011281598594013823,0.0008370858821178107,A,all
1991,variogram,20.5,0.0128680454243522,8.52510874259982e-05,A,all
1991,variogram,20.75,0.0121257332492948,0.00015049072480149213,A,all
1991,variogram,21.0,0.011624513324128241,0.0002940642716391664,A,all
1991,variogram,21.25,0.01181455790905754,5.76833532082658e-05,A,all
1991,variogram,21.5,0.013562469505059386,-0.0015326982029116726,A,all
1991,variogram,21.75,0.014173233755219408,-0.0027972427531273423,A,all
1991,variogram,22.0,0.014714686781313347,-0.0032146282857143673,A,all
1991,variogram,22.25,0.014500412000191235,-0.0035090907102238466,A,all
1991,variogram,22.5,0.01333925751420327,-0.002173896178955061,A,all
1991,variogram,22.75,0.014111831263352683,-0.0008788738355163984,A,all
1991,variogram,23.0,0.012257876080538499,-0.0018704456664541678,A,all
1991,variogram,23.25,0.011518612600914935,-0.0024795617426566197,A,all
1991,variogram,23.5,0.012599957244345985,-0.0012131963867851158,A,all
1991,variogram,23.75,0.012868211778428609,0.003541186178805673,A,all
1991,variogram,24.0,0.013449347068605082,0.0007861841393273598,A,all
1991,variogram,24.25,0.013968426908503404,0.0012615223837926604,A,all
1991,variogram,24.5,0.014348265960478663,0.0010812347870462415,A,all
1991,variogram,24.75,0.013200096897846259,0.0013312861192521454,A,all
1991,variogram,25.0,0.011736474805496592,0.002939625165747657,A,all
1991,variogram,25.25,0.012639165328137412,0.00335161549525939,A,all
1991,variogram,25.5,0.013566722423933857,0.006433260449324289,A,all
1991,variogram,25.75,0.013550488907238617,0.005216549827845566,A,all
1991,variogram,26.0,0.012313545850651834,0.003063918717183886,A,all
1991,variogram,26.25,0.01135638761023023,0.0032717762413209187,A,all
1991,variogram,26.5,0.009594169275385268,0.004113198635104222,A,all
1991,variogram,26.75,0.009569044003381507,0.003688649359869142,A,all
1991,variogram,27.0,0.007178707509092369,0.003839303322042858,A,all
1991,variogram,27.25,0.006776543054257008,0.002792780661394678,A,all
1991,variogram,27.5,0.004918068074760812,0.0024782368795269543,A,all
1991,variogram,27.75,0.004716053942040419,0.002442273040059571,A,all
1991,variogram,28.0,0.0037323377881739,0.000990318074942911,A,all
1991,variogram,28.25,0.002310254906003407,0.0008407902399106621,A,all
1991,variogram,28.5,0.0016866942019900368,0.0007117484015232628,A,all
1992,graph,9.5,0.0012256127531990377,-0.0003136560790107583,A,all
1992,graph,9.75,0.0011547795103447253,0.00020499260108412549,A,all
1992,graph,10.0,0.0016194681843148685,0.0006165786105879062,A,all
1992,graph,10.25,0.0016771086772190225,0.000407107958217505,A,all
1992,graph,10.5,0.0019009138348340191,9.461339175894555e-05,A,all
1992,graph,10.75,0.0020452365224916873,0.00016100239687592737,A,all
1992,graph,11.0,0.00233242200469114,0.00011960006724896137,A,all
1992,graph,11.25,0.0028771842612148307,-0.00013186436988430432,A,all
1992,graph,11.5,0.003864499246961284,-0.0005866901633818059,A,all
1992,graph,11.75,0.0036240385693245953,-0.00010696834520310037,A,all
1992,graph,12.0,0.003926192614106338,-0.0004894101366894308,A,all
1992,graph,12.25,0.003946405620252982,-0.0009436144872159343,A,all
1992,graph,12.5,0.004934671414303143,-0.000712974010129637,A,all
1992,graph,12.75,0.004604331414391448,-0.000289573630944322,A,all
1992,graph,13.0,0.005481015256763716,-0.0002106325334606291,A,all
