year,method,outcome,subset,mae,bias,outer_fold
2002,mean,A,all,0.031084267129336363,0.0005619359272855055,3
2002,mean,A,high,0.028869870478359948,-0.0020295858815127877,3
2002,mean,A_new344,all,0.03128545715285344,0.0006820528246175435,3
2002,mean,A_new344,high,0.028744325187934624,-0.0018182826943585926,3
2002,mean,C,all,0.03318282951301003,8.016897347864758e-05,3
2002,mean,C,high,0.03134648165188661,-0.0034639732343353775,3
2002,simple,A,all,0.008679285082274621,0.00034821123023182543,3
2002,simple,A,high,0.008565035122814094,0.0003441471815843036,3
2002,simple,A_new344,all,0.010776445401364758,0.00039461779420308204,3
2002,simple,A_new344,high,0.0106527998998952,0.00044390199995818984,3
2002,simple,C,all,0.014424658090348326,6.018396691773465e-05,3
2002,simple,C,high,0.01379429274834314,-0.0005454711060542052,3
2002,variogram,A,all,0.008348140656529845,0.00013519804444173816,3
2002,variogram,A,high,0.00844964700774056,0.0003145992117059982,3
2002,variogram,A_new344,all,0.010385612222262416,0.00019433014400588596,3
2002,variogram,A_new344,high,0.010494446966312784,0.0003892914445748353,3
2002,variogram,C,all,0.014166117458302863,-0.00034368542616900426,3
2002,variogram,C,high,0.013867060192337024,-0.000697101607950297,3
2003,graph,A,all,0.008872473081687515,0.0001985535285942987,3
2003,graph,A,high,0.008011565894564924,0.00026023082745273694,3
2003,graph,A_new344,all,0.01100612599160478,0.0003319728292052591,3
2003,graph,A_new344,high,0.009916820778580705,0.00041428930621954877,3
2003,graph,C,all,0.014643205877631032,0.0007522612732904592,3
2003,graph,C,high,0.012527959053778882,-0.00032625367202789745,3
2003,interpolation,A,all,0.014326166899035212,0.006002195643582418,3
2003,interpolation,A,high,0.014326919834005287,0.005679621227566571,3
2003,interpolation,A_new344,all,0.019066853871049172,0.00798838852347452,3
2003,interpolation,A_new344,high,0.01906785596052293,0.00755907066782902,3
2003,interpolation,C,all,0.019565944857366457,0.014347301746198773,3
2003,interpolation,C,high,0.01856787258208411,0.013725748441010767,3
2003,mean,A,all,0.027550506603191437,-0.0005103464898949134,3
2003,mean,A,high,0.017908413102895086,-0.0006165729882897889,3
2003,mean,A_new344,all,0.02792350874903152,-0.0003968939298306002,3
2003,mean,A_new344,high,0.0183833353444949,-0.0006477090594280674,3
2003,mean,C,all,0.030522352555452454,0.0001879897194622567,3
2003,mean,C,high,0.021422609176840742,-0.0010186636855830178,3
2003,simple,A,all,0.008848979991316149,0.0002379335889431785,3
2003,simple,A,high,0.008011173460298683,0.0006374747461580091,3
2003,simple,A_new344,all,0.01097800813905214,0.0004338752063155195,3
2003,simple,A_new344,high,0.009915522400884738,0.000744468583128442,3
2003,simple,C,all,0.014746369838986868,0.0009166705648753074,3
2003,simple,C,high,0.012464451892529295,0.0003971823327217808,3
2003,variogram,A,all,0.008860302273286947,0.00019669223658154154,3
2003,variogram,A,high,0.008116682805098325,0.0002350288536040917,3
2003,variogram,A_new344,all,0.010979140778437561,0.0002963146731591854,3
2003,variogram,A_new344,high,0.010042420318026875,0.00039487238388149663,3
2003,variogram,C,all,0.014602172230689762,0.0009351001936262542,3
2003,variogram,C,high,0.01265847084037048,0.00015189847139389002,3
2004,graph,A,all,0.008589979296378789,-0.0006363610674970483,3
2004,graph,A,high,0.007756039505182692,-0.001322966264123485,3
2004,graph,A_new344,all,0.010625438245507239,-0.0009576425340661745,3
2004,graph,A_new344,high,0.009679144839658281,-0.0017646674934430325,3
2004,graph,C,all,0.014698020632282345,-0.0014078005407903442,3
2004,graph,C,high,0.013162011067234698,-0.0027380893552317906,3
2004,interpolation,A,all,0.013752046445784738,0.005516929571881869,3
2004,interpolation,A,high,0.014268019184399502,0.004564723076383541,3
2004,interpolation,A_new344,all,0.018302750614144863,0.007342542545070087,3
2004,interpolation,A_new344,high,0.01898946443494193,0.006075240395605872,3
2004,interpolation,C,all,0.017914853699760196,0.013570827078471527,3
2004,interpolation,C,high,0.01846419600478225,0.013415322308901152,3
2004,mean,A,all,0.027424656410170008,-0.00017298538968331213,3
2004,mean,A,high,0.02328684120095956,-0.0023096556697510605,3
2004,mean,A_new344,all,0.0275807867018824,-0.0004244400180325687,3
2004,mean,A_new344,high,0.02352225314722251,-0.0027992113552032785,3
2004,mean,C,all,0.029847624602695445,-0.0008031536003185974,3
