method,outcome,subset,threshold_c,mae,bias
variogram,A,all,10.25,0.0016708492079210173,-0.0002215464142006347
variogram,A,all,10.5,0.0018025633291579198,-0.0002209654655493054
variogram,A,all,10.75,0.0020004936109345255,-0.0002274037520696759
variogram,A,all,11.0,0.0022241900046640075,-0.00022276287504651384
variogram,A,all,11.25,0.0024929858930306335,-0.00023855132630238815
variogram,A,all,11.5,0.0025993876807377217,-0.0002267123661698507
variogram,A,all,11.75,0.00284592168007924,-0.0001900924721357824
variogram,A,all,12.0,0.003118909697364357,-0.00018442068384793086
variogram,A,all,12.25,0.003425604700653088,-0.0002099164612050408
variogram,A,all,12.5,0.0038823424298408474,-0.00021407460548822507
variogram,A,all,12.75,0.004151554075614441,-0.00018859442000018217
variogram,A,all,13.0,0.004444345609680751,-0.00018114108531907744
variogram,A,all,13.25,0.0046479330708807,-0.00019957379193050645
variogram,A,all,13.5,0.004920016311942519,-0.000181207187303479
variogram,A,all,13.75,0.005162809713395594,-0.00017802075661808628
variogram,A,all,14.0,0.005507141298743992,-0.0001412135516785502
variogram,A,all,14.25,0.005878744569856004,-0.0001215303830167278
variogram,A,all,14.5,0.006162468974035821,-8.426826702960095e-05
variogram,A,all,14.75,0.00651804162157619,-5.203498282125087e-05
variogram,A,all,15.0,0.006747139162469648,-1.2813356874917597e-05
variogram,A,all,15.25,0.007083450880353424,-1.0559458978225638e-05
variogram,A,all,15.5,0.007381764625983874,1.970874627739307e-06
variogram,A,all,15.75,0.007528394216619176,-1.1430160166562436e-05
variogram,A,all,16.0,0.007704174200795709,-9.924440994032343e-06
variogram,A,all,16.25,0.008007350895703215,-4.404534211920849e-05
variogram,A,all,16.5,0.008201215880743504,-5.36878648690624e-05
variogram,A,all,16.75,0.008442020716436524,-3.287939878594901e-05
variogram,A,all,17.0,0.008815332748106747,-5.9067656387114416e-05
variogram,A,all,17.25,0.008946355295098104,-5.6542864357452395e-05
variogram,A,all,17.5,0.009031281320484938,-3.400979308641705e-05
variogram,A,all,17.75,0.00925154294453991,-5.2703793216776164e-05
variogram,A,all,18.0,0.009398215176749462,-2.419863247928374e-05
variogram,A,all,18.25,0.009389960288177141,-3.632432143625009e-05
variogram,A,all,18.5,0.009507406221890074,-7.455031591112931e-05
