threshold_c,high,middle,difference,lower,upper,outcome,positive_years,negative_years
11.25,0.9965146731769371,0.9882296389936591,0.00828503418327795,0.006565206923437364,0.009809309939434543,A_coslat,31,2
11.5,0.995684527150838,0.9858792293209853,0.009805297829852816,0.007833495372893629,0.011507516295493162,A_coslat,31,2
11.75,0.9946174156880181,0.983278769305069,0.011338646382949139,0.009200708924530199,0.013240791497618993,A_coslat,32,1
12.0,0.9933868891570883,0.9801972048801025,0.013189684276985867,0.010811683871005747,0.015259573826621195,A_coslat,33,0
12.25,0.9919450915645213,0.9767745783333484,0.01517051323117289,0.012521039199029312,0.017452273414501812,A_coslat,33,0
12.5,0.9904359425006881,0.9730074276089615,0.017428514891726605,0.014607914921316342,0.019897740402155095,A_coslat,33,0
12.75,0.98846636353392,0.968772674367868,0.01969368916605203,0.016573131017301273,0.022432711493741243,A_coslat,33,0
13.0,0.9863702012668399,0.964080399170634,0.022289802096206065,0.018814710438855523,0.025233914123681922,A_coslat,33,0
13.25,0.98376669238839,0.9591436260058424,0.024623066382547666,0.02105862547572381,0.02761421647376926,A_coslat,33,0
13.5,0.9807398978261922,0.9535428306904935,0.0271970671356988,0.023512508595582165,0.030504707205491824,A_coslat,33,0
13.75,0.9773395629292,0.9476396968374633,0.029699866091736672,0.025707123671821867,0.033331787085822066,A_coslat,33,0
14.0,0.9734825311839546,0.9409896265176467,0.0324929046663079,0.02812009872314658,0.0365165559777639,A_coslat,33,0
14.25,0.9694728449172548,0.9341129060695256,0.03535993884772924,0.030750871211517598,0.03958191408399238,A_coslat,33,0
14.5,0.9650721779087623,0.9267494148755017,0.0383227630332607,0.03353505549957783,0.042800391187363965,A_coslat,33,0
14.75,0.960268737804497,0.9192155242539399,0.041053213550556966,0.036103971011939864,0.04576209850995883,A_coslat,33,0
15.0,0.9550407434498746,0.9111296308221488,0.043911112627725714,0.038776911968742535,0.04880090812615027,A_coslat,33,0
15.25,0.9495842082189695,0.9027412705782578,0.04684293764071161,0.04130702319620716,0.05200549042894945,A_coslat,33,0
15.5,0.9435337411993809,0.8939136561632788,0.04962008503610214,0.04377511954974963,0.05520868576674138,A_coslat,33,0
15.75,0.937408213043015,0.8848027273380389,0.0526054857049761,0.04642643126717532,0.058529811232350695,A_coslat,33,0
16.0,0.9311366087773065,0.8752816914531589,0.05585491732414756,0.04938414372257298,0.062079209976711715,A_coslat,33,0
16.25,0.9244596870731304,0.8658274584166058,0.05863222865652462,0.05203835345855367,0.06489671998745317,A_coslat,33,0
16.5,0.9175234927300756,0.8560233564554142,0.0615001362746616,0.0548239956328535,0.0677447007419382,A_coslat,33,0
16.75,0.9101969913020292,0.8459421082564584,0.06425488304557074,0.05742390425172391,0.07066021015623146,A_coslat,33,0
17.0,0.9025218610239898,0.8357773129495399,0.06674454807444985,0.059718261418503116,0.07345334251014236,A_coslat,33,0
17.25,0.8946435487909769,0.8252383239174703,0.06940522487350649,0.062334638043568945,0.07624680803355217,A_coslat,33,0
17.5,0.8865005116355726,0.8147972316568786,0.07170327997869401,0.06439973517823,0.07872812345533989,A_coslat,33,0
17.75,0.8778683753835181,0.8039795103331903,0.07388886505032786,0.06680649160417322,0.08080638746191994,A_coslat,33,0
18.0,0.868917692848363,0.7928905958909385,0.07602709695742449,0.06891838810643282,0.08314745794301757,A_coslat,33,0
18.25,0.8596955063349068,0.7815415293211259,0.07815397701378099,0.07111269023151284,0.08534991359739966,A_coslat,33,0
18.5,0.8498345665924594,0.7699784002113913,0.07985616638106802,0.07297033490157578,0.0870483023384759,A_coslat,33,0
18.75,0.83999196247136,0.7582354543422042,0.08175650812915576,0.07493648795757218,0.08903781329293639,A_coslat,33,0
19.0,0.8296374357157448,0.7461442239212904,0.08349321179445433,0.0764037737798047,0.09101323092311735,A_coslat,33,0
19.25,0.8189388282891367,0.7337358805644758,0.08520294772466085,0.07785778086643573,0.09280015063418745,A_coslat,33,0
19.5,0.8082108015368613,0.7209776143729234,0.087233187163938,0.07996638203550116,0.09512671544504088,A_coslat,33,0
19.75,0.7971894435680205,0.7077353022896994,0.08945414127832102,0.08201277454869957,0.09739621595606486,A_coslat,33,0
20.0,0.7858035959442137,0.6938111472047384,0.0919924487394753,0.08439280280507444,0.10042091340233426,A_coslat,33,0
20.25,0.7741948956297849,0.6791913070738143,0.09500358855597064,0.08730937281382241,0.10359077565165874,A_coslat,33,0
20.5,0.7620171539421882,0.6641589955990069,0.09785815834318132,0.08991017783134005,0.10681712294877083,A_coslat,33,0
20.75,0.7489188409294119,0.6484640107834306,0.10045483014598126,0.09239360994702794,0.10977347306543156,A_coslat,33,0
21.0,0.7355370676917325,0.6319578786686105,0.10357918902312202,0.09533118287106083,0.11308969227779317,A_coslat,33,0
21.25,0.7210959365534143,0.6145059911883942,0.10658994536502005,0.09822471526364508,0.11655076518479247,A_coslat,33,0
