analysis,domain,distance_method,target_weighting,label_rule,n_sites,bandwidth_km,weighted_mean_pair_distance_km,effective_edges,n_years,estimate,standard_error,ci_lower,ci_upper,negative_years
north_edge_inward_1.8deg_wgs84_equal_frozen_primary,north_edge_inward_1.8deg,WGS84_geodesic,equal_site,frozen_primary,413,503.199060125194,530.441523107656,42656.572801596936,33,-0.09570954930221195,0.013088125994716256,-0.12236918954425641,-0.0690499090601675,31
north_edge_inward_1.8deg_wgs84_equal_frozen_primary,north_edge_inward_1.8deg,WGS84_geodesic,equal_site,frozen_primary,413,1006.39812025039,776.9454565216636,74135.33114723899,33,-0.14360715274072447,0.013177322099157148,-0.1704484795020113,-0.11676582597943762,33
north_edge_inward_1.8deg_wgs84_equal_frozen_primary,north_edge_inward_1.8deg,WGS84_geodesic,equal_site,frozen_primary,413,2012.79624050077,903.6949867386894,83935.87353283922,33,-0.16796928429525243,0.012956455625706497,-0.1943607207723152,-0.14157784781818966,33
north_edge_inward_1.8deg_wgs84_equal_domain_mean_relabelled,north_edge_inward_1.8deg,WGS84_geodesic,equal_site,domain_mean_relabelled,413,125.799765031298,164.30602596897245,4518.419607911641,33,-0.025689833363992914,0.009100398370281362,-0.044226738243188984,-0.007152928484796844,22
north_edge_inward_1.8deg_wgs84_equal_domain_mean_relabelled,north_edge_inward_1.8deg,WGS84_geodesic,equal_site,domain_mean_relabelled,413,251.599530062597,300.1767308650861,15387.57398386171,33,-0.03908256559727849,0.010484750416319175,-0.0604393033181362,-0.017725827876420786,22
north_edge_inward_1.8deg_wgs84_equal_domain_mean_relabelled,north_edge_inward_1.8deg,WGS84_geodesic,equal_site,domain_mean_relabelled,413,503.199060125194,530.441523107656,42656.572801596936,33,-0.07004772967561079,0.011930471600607909,-0.09434930508209284,-0.045746154269128744,28
north_edge_inward_1.8deg_wgs84_equal_domain_mean_relabelled,north_edge_inward_1.8deg,WGS84_geodesic,equal_site,domain_mean_relabelled,413,1006.39812025039,776.9454565216636,74135.33114723899,33,-0.11936250539971516,0.011963127381896768,-0.14373059845596123,-0.09499441234346909,33
north_edge_inward_1.8deg_wgs84_equal_domain_mean_relabelled,north_edge_inward_1.8deg,WGS84_geodesic,equal_site,domain_mean_relabelled,413,2012.79624050077,903.6949867386894,83935.87353283922,33,-0.144144123519411,0.011869220670337119,-0.16832093486370653,-0.11996731217511547,33
west_edge_inward_0.8deg_wgs84_equal_frozen_primary,west_edge_inward_0.8deg,WGS84_geodesic,equal_site,frozen_primary,440,125.799765031298,163.67848792004654,4854.323851152163,33,-0.03292014981130572,0.010410839841084927,-0.05412633661703447,-0.01171396300557697,22
west_edge_inward_0.8deg_wgs84_equal_frozen_primary,west_edge_inward_0.8deg,WGS84_geodesic,equal_site,frozen_primary,440,251.599530062597,299.1718638602158,16399.312065278737,33,-0.04452235863843654,0.012529590242095094,-0.07004429878245236,-0.01900041849442072,24
west_edge_inward_0.8deg_wgs84_equal_frozen_primary,west_edge_inward_0.8deg,WGS84_geodesic,equal_site,frozen_primary,440,503.199060125194,531.343009319576,45641.88125210656,33,-0.07005148295858847,0.014549428265171353,-0.09968769852019685,-0.04041526739698009,27
west_edge_inward_0.8deg_wgs84_equal_frozen_primary,west_edge_inward_0.8deg,WGS84_geodesic,equal_site,frozen_primary,440,1006.39812025039,794.5224605173581,81714.26749603033,33,-0.11871988322474786,0.014617374151412321,-0.1484945000275914,-0.0889452664219043,30
west_edge_inward_0.8deg_wgs84_equal_frozen_primary,west_edge_inward_0.8deg,WGS84_geodesic,equal_site,frozen_primary,440,2012.79624050077,944.9205530783428,94866.66686567685,33,-0.14672232143097264,0.014351331330672838,-0.17595502674146377,-0.1174896161204815,32
west_edge_inward_0.8deg_wgs84_equal_domain_mean_relabelled,west_edge_inward_0.8deg,WGS84_geodesic,equal_site,domain_mean_relabelled,440,125.799765031298,163.67848792004654,4854.323851152163,33,-0.020971235754956217,0.01009422063496115,-0.041532490342551576,-0.0004099811673608546,21
west_edge_inward_0.8deg_wgs84_equal_domain_mean_relabelled,west_edge_inward_0.8deg,WGS84_geodesic,equal_site,domain_mean_relabelled,440,251.599530062597,299.1718638602158,16399.312065278737,33,-0.026752506714237383,0.012426400332779645,-0.05206425589125994,-0.001440757537214829,22
west_edge_inward_0.8deg_wgs84_equal_domain_mean_relabelled,west_edge_inward_0.8deg,WGS84_geodesic,equal_site,domain_mean_relabelled,440,503.199060125194,531.343009319576,45641.88125210656,33,-0.0485173058596477,0.014872041853479777,-0.07881066379633482,-0.018223947922960573,24
