file,mean_extreme,mean_moderate,relative_effect,absolute_effect,n_extreme,n_moderate,metric,year,month,day_definition,analysis_role
202207,3.09646218831124,2.56863467834306,0.205489521113473,0.527827509968176,8,15,graph_h_0.125,2022,7,utc,discovery
202208,2.31810913635824,2.55381402647653,-0.0922952445536853,-0.235704890118283,8,15,graph_h_0.125,2022,8,utc,discovery
202306,2.70903755253491,2.82337958308858,-0.0404982848351532,-0.114342030553678,8,14,graph_h_0.125,2023,6,utc,confirmatory
202307,2.42173279948117,2.70000911175176,-0.103064953025305,-0.27827631227059,8,15,graph_h_0.125,2023,7,utc,confirmatory
202308,2.2262574970046,3.02874252573868,-0.264956503207006,-0.802485028734077,8,15,graph_h_0.125,2023,8,utc,confirmatory
202406,2.49037969786887,2.67780339564579,-0.0699915826836581,-0.187423697776923,8,14,graph_h_0.125,2024,6,utc,confirmatory
202407,2.96790399740666,2.61492767443089,0.134985118872394,0.352976322975767,8,15,graph_h_0.125,2024,7,utc,confirmatory
202408,2.78694315574365,2.63993261752336,0.0556872312741887,0.147010538220298,8,15,graph_h_0.125,2024,8,utc,confirmatory
202506,2.21399636087655,2.44678656770792,-0.0951411986250335,-0.232790206831363,8,14,graph_h_0.125,2025,6,utc,confirmatory
202507,2.14550899039764,2.4993098717471,-0.141559430204686,-0.353800881349465,8,15,graph_h_0.125,2025,7,utc,confirmatory
202508,2.37162869329964,2.70409058571504,-0.122947764461627,-0.332461892415396,8,15,graph_h_0.125,2025,8,utc,confirmatory
199106,4.86850825469598,4.29663968628515,0.133096701181677,0.571868568410831,8,14,graph_h_0.250,1991,6,utc,confirmatory
199107,4.37383622882454,4.23960791626653,0.0316605486188952,0.13422831255801,8,15,graph_h_0.250,1991,7,utc,confirmatory
199108,4.19376907918378,3.93079620539093,0.0669006633903313,0.262972873792851,8,15,graph_h_0.250,1991,8,utc,confirmatory
199206,4.04783843534426,4.02478381653582,0.00572816326524706,0.0230546188084411,8,14,graph_h_0.250,1992,6,utc,confirmatory
199207,4.43665011758446,4.54647229497034,-0.024155470496844,-0.109822177385874,8,15,graph_h_0.250,1992,7,utc,confirmatory
199208,4.15271258398229,3.68895998975436,0.125713641653999,0.463752594227922,8,15,graph_h_0.250,1992,8,utc,confirmatory
199306,4.55922001691475,4.97873648650127,-0.0842616335939732,-0.419516469586515,8,14,graph_h_0.250,1993,6,utc,confirmatory
199307,4.32727663200779,3.89869975080585,0.109928157743709,0.428576881201943,8,15,graph_h_0.250,1993,7,utc,confirmatory
199308,4.39805537136879,4.62446816366414,-0.0489597472146848,-0.226412792295354,8,15,graph_h_0.250,1993,8,utc,confirmatory
