basis,year,analysis_role,bandwidth_km,total_effect,structured_component,residual_component
latitude,2023,held_out,2012.796241,-0.2668317084989719,-0.18850868676020363,-0.07832302173876883
latitude,2024,held_out,125.799765,0.04022692249083056,-0.020229915707401593,0.060456838198231444
latitude,2024,held_out,251.59953,0.026664413710497454,-0.03882897104361776,0.06549338475411497
latitude,2024,held_out,503.19906,0.0009437820488490842,-0.07489487229265279,0.07583865434150185
latitude,2024,held_out,1006.39812,-0.04673102313059133,-0.11527562802227571,0.06854460489168501
latitude,2024,held_out,2012.796241,-0.0733623729599064,-0.1344902844088057,0.061127911448899626
latitude,2025,held_out,125.799765,-0.11988279775693757,-0.03457003773951426,-0.08531276001742373
latitude,2025,held_out,251.59953,-0.1482774552921686,-0.05493028460134209,-0.09334717069082682
latitude,2025,held_out,503.19906,-0.18709155820167653,-0.09241607561168923,-0.09467548258998748
latitude,2025,held_out,1006.39812,-0.22606001761216968,-0.13692347375769207,-0.08913654385447806
latitude,2025,held_out,2012.796241,-0.2452437212094805,-0.15910890124563115,-0.0861348199638489
latitude_longitude,1991,held_out,125.799765,0.07281041033455689,-0.012426692286286125,0.0852371026208436
latitude_longitude,1991,held_out,251.59953,0.07721930439261855,-0.026077690671288387,0.10329699506390701
latitude_longitude,1991,held_out,503.19906,0.0841929483393394,-0.041491735648010494,0.12568468398735005
latitude_longitude,1991,held_out,1006.39812,0.04171172727477194,-0.06466287118849538,0.10637459846326726
latitude_longitude,1991,held_out,2012.796241,0.004766025271290307,-0.08392364818609359,0.08868967345738388
latitude_longitude,1992,held_out,125.799765,0.04696221026856904,-0.02415055442564314,0.07111276469421153
latitude_longitude,1992,held_out,251.59953,0.03576211147639752,-0.046007424701670685,0.08176953617806847
latitude_longitude,1992,held_out,503.19906,0.02903486097819839,-0.08118168165425561,0.1102165426324541
latitude_longitude,1992,held_out,1006.39812,-0.02033286810918661,-0.12352630089478456,0.10319343278559795
latitude_longitude,1992,held_out,2012.796241,-0.05810118311874654,-0.1469885260036153,0.08888734288486888
latitude_longitude,1993,held_out,125.799765,-0.01688065957098912,-0.02892113622405923,0.012040476653070516
latitude_longitude,1993,held_out,251.59953,-0.007764407691498105,-0.04533906136370369,0.03757465367220562
latitude_longitude,1993,held_out,503.19906,-0.004533389410146996,-0.0678330597405693,0.06329967033042212
latitude_longitude,1993,held_out,1006.39812,-0.03870833445594985,-0.0958679072981843,0.057159572842234274
latitude_longitude,1993,held_out,2012.796241,-0.06601950989212468,-0.11370330091370016,0.04768379102157571
latitude_longitude,1994,held_out,125.799765,0.038272464221062265,-0.007960610717741288,0.046233074938802465
latitude_longitude,1994,held_out,251.59953,0.04487437642216644,-0.01967607255192385,0.06455044897409108
latitude_longitude,1994,held_out,503.19906,0.03785570980621777,-0.04994319996780936,0.08779890977402734
latitude_longitude,1994,held_out,1006.39812,-0.016982807758460925,-0.0942789276502406,0.07729611989177934
latitude_longitude,1994,held_out,2012.796241,-0.05631557694138704,-0.12082645363256443,0.0645108766911779
latitude_longitude,1995,held_out,125.799765,0.007188224917125359,-0.009315013462860941,0.01650323837998698
latitude_longitude,1995,held_out,251.59953,-0.012526020581162027,-0.02977019916547273,0.01724417858431025
latitude_longitude,1995,held_out,503.19906,-0.05440341238837576,-0.07769948326170278,0.023296070873327187
latitude_longitude,1995,held_out,1006.39812,-0.09620459252765097,-0.12156691782317829,0.02536232529552658
latitude_longitude,1995,held_out,2012.796241,-0.1124900239114849,-0.1356159130778923,0.023125889166408037
latitude_longitude,1996,held_out,125.799765,-0.06923980007574994,-0.04503946284823851,-0.024200337227511404
latitude_longitude,1996,held_out,251.59953,-0.06187954907911921,-0.07483074694357651,0.012951197864457838
latitude_longitude,1996,held_out,503.19906,-0.06310095365216516,-0.12743414320922145,0.0643331895570566
latitude_longitude,1996,held_out,1006.39812,-0.12582043818301147,-0.18339612336148448,0.05757568517847269
latitude_longitude,1996,held_out,2012.796241,-0.16707741680761531,-0.21170308283628692,0.0446256660286713
latitude_longitude,1997,held_out,125.799765,-0.07432589002127184,-0.035508334020627,-0.03881755600064508
latitude_longitude,1997,held_out,251.59953,-0.10154294144017341,-0.06367437276422118,-0.03786856867595243
latitude_longitude,1997,held_out,503.19906,-0.13718089536918238,-0.11243556785605213,-0.024745327513130907
latitude_longitude,1997,held_out,1006.39812,-0.17534008726813707,-0.15938585242092648,-0.015954234847211125
latitude_longitude,1997,held_out,2012.796241,-0.19434568621896933,-0.1805721555008788,-0.013773530718089922
latitude_longitude,1998,held_out,125.799765,-0.001152796209664575,-0.011503901892887488,0.010351105683223687
latitude_longitude,1998,held_out,251.59953,0.0018277021192336675,-0.021894110539879153,0.023721812659112478
latitude_longitude,1998,held_out,503.19906,-0.002542427510081285,-0.05070271026351961,0.04816028275343784
latitude_longitude,1998,held_out,1006.39812,-0.03539981627860321,-0.08531244238455211,0.049912626105948855
latitude_longitude,1998,held_out,2012.796241,-0.05594523495769368,-0.10024834458799621,0.04430310963030292
latitude_longitude,1999,held_out,125.799765,-0.10718238773657396,-0.06197631377607976,-0.045206073960494086
latitude_longitude,1999,held_out,251.59953,-0.13773752519010315,-0.09776461526902298,-0.039972909921080234
latitude_longitude,1999,held_out,503.19906,-0.16632115869907224,-0.15411166777428179,-0.012209490924790312
latitude_longitude,1999,held_out,1006.39812,-0.20490429323225157,-0.21008053642107385,0.005176243188822445
latitude_longitude,1999,held_out,2012.796241,-0.23009175452295438,-0.23710667386001286,0.007014919337059322
latitude_longitude,2000,held_out,125.799765,-0.11036013009466199,-0.03749400385946678,-0.07286612623519505
latitude_longitude,2000,held_out,251.59953,-0.1325115140808624,-0.06839620280334269,-0.06411531127751892
latitude_longitude,2000,held_out,503.19906,-0.16746543757341123,-0.1310128607429353,-0.036452576830476285
latitude_longitude,2000,held_out,1006.39812,-0.2190249162334337,-0.19520997287826725,-0.023814943355166634
latitude_longitude,2000,held_out,2012.796241,-0.24737756005369582,-0.22580465233933097,-0.021572907714364667
latitude_longitude,2001,held_out,125.799765,-0.06776741233845587,-0.03202556699846388,-0.035741845339992334
latitude_longitude,2001,held_out,251.59953,-0.07215520422225317,-0.05458683977820017,-0.017568364444052843
latitude_longitude,2001,held_out,503.19906,-0.08340922611024486,-0.09701339059547413,0.013604164485229586
latitude_longitude,2001,held_out,1006.39812,-0.12115689987666685,-0.14287448085189092,0.021717580975223295
latitude_longitude,2001,held_out,2012.796241,-0.1474952006785344,-0.16619111710319986,0.018695916424665397
latitude_longitude,2002,held_out,125.799765,0.02528656276612355,-0.012767120710931482,0.038053683477054484
latitude_longitude,2002,held_out,251.59953,0.022962254497743417,-0.02618098503156655,0.04914323952931049
latitude_longitude,2002,held_out,503.19906,0.0325062604415902,-0.040442273358661955,0.07294853380025286
latitude_longitude,2002,held_out,1006.39812,0.02111579050002435,-0.05285222339213986,0.07396801389216379
latitude_longitude,2002,held_out,2012.796241,0.0032040596317395123,-0.06294554290596595,0.066149602537706
latitude_longitude,2003,held_out,125.799765,0.009598034505411726,-0.0287480974915037,0.03834613199691556
latitude_longitude,2003,held_out,251.59953,0.007227065476397791,-0.04976305951994198,0.05699012499634016
latitude_longitude,2003,held_out,503.19906,-0.004618159168925347,-0.10291241587186735,0.09829425670294185
latitude_longitude,2003,held_out,1006.39812,-0.06998528070871203,-0.16366601215951146,0.09368073145079914
latitude_longitude,2003,held_out,2012.796241,-0.1075504958396565,-0.18876633995198175,0.08121584411232508
latitude_longitude,2004,held_out,125.799765,-8.815421247722217e-05,-0.027325619975635946,0.027237465763157876
latitude_longitude,2004,held_out,251.59953,-0.010005581307714359,-0.05742519456016256,0.04741961325244748
latitude_longitude,2004,held_out,503.19906,-0.03161321026051316,-0.11542574462555354,0.0838125343650401
latitude_longitude,2004,held_out,1006.39812,-0.09751911145271551,-0.17572754892664036,0.07820843747392454
latitude_longitude,2004,held_out,2012.796241,-0.1406216184518373,-0.20545757346263824,0.06483595501080164
latitude_longitude,2005,held_out,125.799765,-0.05048876637583317,-0.03165302363930233,-0.018835742736530554
latitude_longitude,2005,held_out,251.59953,-0.0650721707529212,-0.05599915221624818,-0.009073018536673277
latitude_longitude,2005,held_out,503.19906,-0.08987288357039443,-0.10992712431388481,0.020054240743490364
latitude_longitude,2005,held_out,1006.39812,-0.14450619239460513,-0.17360429455969473,0.029098102165088596
latitude_longitude,2005,held_out,2012.796241,-0.1799367318932367,-0.20621089436160356,0.026274162468367297
latitude_longitude,2006,held_out,125.799765,-0.04005471148981595,-0.030974966495058365,-0.009079744994758198
latitude_longitude,2006,held_out,251.59953,-0.0530504371133807,-0.061497548825536506,0.008447111712156142
latitude_longitude,2006,held_out,503.19906,-0.08710379140770542,-0.11217639050353956,0.025072599095834244
latitude_longitude,2006,held_out,1006.39812,-0.1371482518135028,-0.15973683881586137,0.022588587002359013
latitude_longitude,2006,held_out,2012.796241,-0.16203416653693872,-0.1812432411359638,0.019209074599025443
latitude_longitude,2007,held_out,125.799765,0.04689492352021891,-0.023775964567425114,0.07067088808764388
latitude_longitude,2007,held_out,251.59953,0.04425642252690848,-0.04271850052563137,0.08697492305253968
latitude_longitude,2007,held_out,503.19906,0.010748305890286495,-0.08767899503695391,0.09842730092724046
latitude_longitude,2007,held_out,1006.39812,-0.07775516082957835,-0.15179978975027408,0.07404462892069617
latitude_longitude,2007,held_out,2012.796241,-0.12990271330887962,-0.18742758084081246,0.05752486753193276
latitude_longitude,2008,held_out,125.799765,0.03211732059861213,-0.023988618188240742,0.0561059387868535
latitude_longitude,2008,held_out,251.59953,0.012754530042978779,-0.04074717582381188,0.05350170586679039
latitude_longitude,2008,held_out,503.19906,-0.01843600235411318,-0.07741956416598532,0.05898356181187211
latitude_longitude,2008,held_out,1006.39812,-0.06321495655824767,-0.11498271708582987,0.051767760527581946
latitude_longitude,2008,held_out,2012.796241,-0.08710642835934175,-0.13078526101368496,0.04367883265434325
latitude_longitude,2009,held_out,125.799765,-0.08414173102338052,-0.03383632166568315,-0.050305409357697596
latitude_longitude,2009,held_out,251.59953,-0.08653275327270256,-0.062065640716684724,-0.024467112556017332
latitude_longitude,2009,held_out,503.19906,-0.1051739199875167,-0.11793785032619346,0.012763930338676432
latitude_longitude,2009,held_out,1006.39812,-0.14453185826886417,-0.1663696307549037,0.021837772486039155
latitude_longitude,2009,held_out,2012.796241,-0.16515886187202014,-0.1837369221656263,0.01857806029360627
latitude_longitude,2010,held_out,125.799765,-0.008427480420972789,-0.04069489409972598,0.03226741367875279
latitude_longitude,2010,held_out,251.59953,-0.01879529319003535,-0.06270610866789808,0.043910815477862936
latitude_longitude,2010,held_out,503.19906,-0.041185836341033906,-0.09635787066375424,0.055172034322720866
latitude_longitude,2010,held_out,1006.39812,-0.09754692520207646,-0.14132081647106529,0.04377389126898856
latitude_longitude,2010,held_out,2012.796241,-0.13640810627863373,-0.1707978271714022,0.03438972089276877
latitude_longitude,2011,held_out,125.799765,-0.01584788186485547,-0.03993756547051587,0.02408968360566062
latitude_longitude,2011,held_out,251.59953,-0.0260348482455267,-0.06793499560955445,0.041900147364027605
latitude_longitude,2011,held_out,503.19906,-0.04518523210659234,-0.11693193201083658,0.07174669990424475
latitude_longitude,2011,held_out,1006.39812,-0.1090168797877683,-0.17168233497559313,0.06266545518782428
latitude_longitude,2011,held_out,2012.796241,-0.1475352779934929,-0.19923334306349028,0.0516980650699978
latitude_longitude,2012,held_out,125.799765,-0.1571974408947636,-0.05849581443739262,-0.09870162645737061
latitude_longitude,2012,held_out,251.59953,-0.2205943322735009,-0.10619553137473693,-0.11439880089876453
latitude_longitude,2012,held_out,503.19906,-0.30072007700997117,-0.19551263657650564,-0.10520744043346586
latitude_longitude,2012,held_out,1006.39812,-0.35095429540952966,-0.27382333547339477,-0.07713095993613485
latitude_longitude,2012,held_out,2012.796241,-0.3687728230283079,-0.3050238594737082,-0.0637489635545996
latitude_longitude,2013,held_out,125.799765,0.008176083921415675,-0.018690379109537126,0.026866463030953542
latitude_longitude,2013,held_out,251.59953,-0.010132641060299631,-0.03569332143748396,0.025560680377185067
latitude_longitude,2013,held_out,503.19906,-0.03432284107489583,-0.07147194344406642,0.03714910236917105
latitude_longitude,2013,held_out,1006.39812,-0.07822947751411015,-0.11258774562119385,0.03435826810708426
latitude_longitude,2013,held_out,2012.796241,-0.10311575953814926,-0.13215373091885155,0.0290379713807019
latitude_longitude,2014,held_out,125.799765,-0.006289860253141051,-0.023566779925710223,0.01727691967256885
latitude_longitude,2014,held_out,251.59953,-0.00015455880921028467,-0.03967592421169397,0.03952136540248361
latitude_longitude,2014,held_out,503.19906,0.01830117620932165,-0.061465621564680155,0.07976679777400097
