year,bandwidth_km,total_effect,anomaly_energy_component,climatology_anomaly_cross_component,climatology_energy_component
1975,2012.796241,-0.2144500806747621,-0.00875578597154112,-0.20569429470322106,0.0
1976,125.799765,-0.02293997224590573,-0.03651390992524647,0.01357393767934,0.0
1976,251.59953,-0.04449945673249537,-0.04797912922263312,0.0034796724901376606,0.0
1976,503.19906,-0.08512157413735334,-0.04756153078454545,-0.03756004335280779,0.0
1976,1006.39812,-0.1460096478464787,-0.036434424037320834,-0.10957522380915781,0.0
1976,2012.796241,-0.1785131033025309,-0.02933360528226929,-0.14917949802026198,0.0
1977,125.799765,-0.11489258203275932,-0.03152875423117207,-0.0833638278015869,0.0
1977,251.59953,-0.11082734840176857,-0.03507190900835073,-0.0757554393934182,0.0
1977,503.19906,-0.09060540918718994,-0.024281867614699654,-0.06632354157249053,0.0
1977,1006.39812,-0.11811809147944212,-0.013578566024706562,-0.10453952545473566,0.0
1977,2012.796241,-0.14975603992592842,-0.010315748174264961,-0.13944029175166342,0.0
1978,125.799765,-0.06237340884228876,-0.015006404541871675,-0.047367004300416744,0.0
1978,251.59953,-0.09577377005726011,-0.00673655082887244,-0.08903721922838821,0.0
1978,503.19906,-0.14871213725343063,0.0025058432336468885,-0.15121798048707735,0.0
1978,1006.39812,-0.21516973750479051,0.0067343767687368305,-0.22190411427352683,0.0
1978,2012.796241,-0.2502247322777782,0.009336323319605431,-0.2595610555973838,0.0
1979,125.799765,-0.08050470206107056,-0.05655802228528602,-0.02394667977578423,0.0
1979,251.59953,-0.11042555192309567,-0.05299250013892793,-0.05743305178416739,0.0
1979,503.19906,-0.15860519399488174,-0.035923961802382574,-0.1226812321924992,0.0
1979,1006.39812,-0.2150146605146848,-0.014260769044954366,-0.20075389146973036,0.0
1979,2012.796241,-0.2452237964812316,-0.004586448407320633,-0.24063734807391077,0.0
1980,125.799765,-0.05160324714415169,-0.037222928952186235,-0.014380318191965634,0.0
1980,251.59953,-0.04186744033524507,-0.03626736074151118,-0.005600079593734271,0.0
1980,503.19906,-0.02988161351831139,-0.021590944016462787,-0.008290669501848624,0.0
1980,1006.39812,-0.06007513023761018,-0.01053677377574995,-0.04953835646186051,0.0
1980,2012.796241,-0.08699220379081089,-0.006814922760104747,-0.08017728103070558,0.0
1981,125.799765,-0.00437110276691522,-0.025185662820264004,0.020814560053348644,0.0
1981,251.59953,-0.024861069774558913,-0.015014350013271796,-0.009846719761287313,0.0
1981,503.19906,-0.06389939550472311,0.00832089817964226,-0.07222029368436488,0.0
1981,1006.39812,-0.12254152284095081,0.0302622123148974,-0.15280373515584814,0.0
1981,2012.796241,-0.15456167401822737,0.0410905311242654,-0.1956522051424924,0.0
1982,125.799765,-0.09706305219267845,-0.042080328781591216,-0.05498272341108718,0.0
1982,251.59953,-0.10591815155028161,-0.046306042268888715,-0.059612109281393065,0.0
1982,503.19906,-0.11798978679298322,-0.05037972199415001,-0.06761006479883343,0.0
1982,1006.39812,-0.1401075424340752,-0.052298668141122696,-0.08780887429295277,0.0
1982,2012.796241,-0.1523003334875872,-0.05109689884240803,-0.1012034346451793,0.0
1983,125.799765,-0.08860707504867336,-0.037793938632574575,-0.050813136416098546,0.0
1983,251.59953,-0.12763992976372943,-0.03668659138927407,-0.09095333837445585,0.0
1983,503.19906,-0.18052201276318938,-0.03527908978089403,-0.14524292298229521,0.0
1983,1006.39812,-0.23955843393681953,-0.032864863219851,-0.20669357071696837,0.0
