basis,year,bandwidth_km,total_effect,structured_component,residual_component
latitude_longitude,1966,1006.39812,-0.06875377307292162,-0.12234333834214424,0.05358956526922207
latitude_longitude,1966,2012.796241,-0.1061844231359086,-0.148619748895321,0.04243532575941215
latitude_longitude,1967,125.799765,-0.09584385240257409,-0.03195732073570256,-0.06388653166687293
latitude_longitude,1967,251.59953,-0.14127328766513236,-0.06045737982567537,-0.08081590783945743
latitude_longitude,1967,503.19906,-0.18607858846869338,-0.10396154557107602,-0.08211704289761722
latitude_longitude,1967,1006.39812,-0.21244960162411872,-0.1501573886558835,-0.062292212968235415
latitude_longitude,1967,2012.796241,-0.23018562317067892,-0.179086764008514,-0.05109885916216525
latitude_longitude,1968,125.799765,0.05917930546467721,-0.007939758789832973,0.06711906425450932
latitude_longitude,1968,251.59953,0.050364514474346554,-0.024684141204012855,0.07504865567835926
latitude_longitude,1968,503.19906,0.011629145613247438,-0.06105739227753485,0.07268653789078217
latitude_longitude,1968,1006.39812,-0.039988985207111416,-0.0989656649200605,0.05897667971294892
latitude_longitude,1968,2012.796241,-0.06308598277393751,-0.11310173565436689,0.050015752880428976
latitude_longitude,1969,125.799765,-0.033230323320128936,-0.013689480302518294,-0.01954084301761043
latitude_longitude,1969,251.59953,-0.0362601232852961,-0.03370150061520175,-0.0025586226700941663
latitude_longitude,1969,503.19906,-0.053995162670461914,-0.08027817327708615,0.02628301060662429
latitude_longitude,1969,1006.39812,-0.09584433390331636,-0.1257267993611946,0.02988246545787801
latitude_longitude,1969,2012.796241,-0.1177679050157608,-0.14355756530634664,0.025789660290585447
latitude_longitude,1970,125.799765,-0.0864267814208064,-0.014387771282579872,-0.07203901013822624
latitude_longitude,1970,251.59953,-0.06402371860290786,-0.025959672234178346,-0.03806404636872982
latitude_longitude,1970,503.19906,-0.061109829525373006,-0.06111172505222875,1.8955268551631062e-06
latitude_longitude,1970,1006.39812,-0.10467335098480453,-0.11450766583659373,0.009834314851789492
latitude_longitude,1970,2012.796241,-0.13287833999802837,-0.14255823047648772,0.009679890478458866
latitude_longitude,1971,125.799765,-0.15021163432681045,-0.04185962736300721,-0.10835200696380322
latitude_longitude,1971,251.59953,-0.17179845139216995,-0.06984237617088639,-0.10195607522128385
latitude_longitude,1971,503.19906,-0.1975044223370662,-0.11877528669746318,-0.07872913563960345
latitude_longitude,1971,1006.39812,-0.239693065400717,-0.1800160045852691,-0.05967706081544796
latitude_longitude,1971,2012.796241,-0.26437675852247433,-0.21321514562109808,-0.05116161290137664
latitude_longitude,1972,125.799765,-0.061295964744248026,-0.03674024885119332,-0.024555715893055035
latitude_longitude,1972,251.59953,-0.09247714843007053,-0.06894283886243845,-0.023534309567631542
