partition,lower,upper,record,year,scale,high_n,middle_n,ratio,rms_absolute
Quartiles,0.25,0.75,200308,2003,4,8,15,-0.014631476952391975,-0.03721928085430015
Quartiles,0.25,0.75,200308,2003,5,8,15,-0.052346639266143025,-0.14910816366920265
Quartiles,0.25,0.75,200308,2003,6,8,15,-0.0659903615464561,-0.19548897823548472
Quartiles,0.25,0.75,200406,2004,1,8,14,0.0561564294151109,0.06545188184614936
Quartiles,0.25,0.75,200406,2004,2,8,14,0.08978984321334127,0.1331447544361657
Quartiles,0.25,0.75,200406,2004,3,8,14,0.14755022106533056,0.2872634941051375
Quartiles,0.25,0.75,200406,2004,4,8,14,0.15339714302581164,0.37647064350408943
Quartiles,0.25,0.75,200406,2004,5,8,14,0.13508595456067884,0.37041398844245776
Quartiles,0.25,0.75,200406,2004,6,8,14,0.1246200392500636,0.3558787443039151
Quartiles,0.25,0.75,200407,2004,1,8,15,-0.031243811187599557,-0.0375878914682799
Quartiles,0.25,0.75,200407,2004,2,8,15,-0.07499263616425089,-0.11776653738225651
Quartiles,0.25,0.75,200407,2004,3,8,15,-0.13165791559103512,-0.28335693054051925
Quartiles,0.25,0.75,200407,2004,4,8,15,-0.20630289036404548,-0.5644703183183335
Quartiles,0.25,0.75,200407,2004,5,8,15,-0.2490783087459031,-0.754848415574366
Quartiles,0.25,0.75,200407,2004,6,8,15,-0.2669887595881998,-0.8383438441955553
Quartiles,0.25,0.75,200408,2004,1,8,15,-0.025177080869997814,-0.028514370629702412
Quartiles,0.25,0.75,200408,2004,2,8,15,-0.04481395098377561,-0.06479212277527058
Quartiles,0.25,0.75,200408,2004,3,8,15,-0.1107319363067778,-0.21923698560635207
Quartiles,0.25,0.75,200408,2004,4,8,15,-0.23965158708909762,-0.6386559516858918
Quartiles,0.25,0.75,200408,2004,5,8,15,-0.3078725011444222,-0.9434334716950206
Quartiles,0.25,0.75,200408,2004,6,8,15,-0.33482252886194475,-1.0801544505476262
Quartiles,0.25,0.75,200506,2005,1,8,14,-0.09700719569623195,-0.1202492785358813
Quartiles,0.25,0.75,200506,2005,2,8,14,-0.09740503580712834,-0.15880715325480876
Quartiles,0.25,0.75,200506,2005,3,8,14,-0.08137296302203534,-0.1834130716242921
Quartiles,0.25,0.75,200506,2005,4,8,14,-0.09253532859729452,-0.2703783367930024
Quartiles,0.25,0.75,200506,2005,5,8,14,-0.1139043068483877,-0.37469062329866
Quartiles,0.25,0.75,200506,2005,6,8,14,-0.12518569271073487,-0.429850581762917
Quartiles,0.25,0.75,200507,2005,1,8,15,-0.05373634434124641,-0.06244472566106163
Quartiles,0.25,0.75,200507,2005,2,8,15,-0.10934983350254712,-0.16503738772482723
Quartiles,0.25,0.75,200507,2005,3,8,15,-0.17637074186274793,-0.36430935852651913
Quartiles,0.25,0.75,200507,2005,4,8,15,-0.234017413106689,-0.6087055351794399
Quartiles,0.25,0.75,200507,2005,5,8,15,-0.2614818323945235,-0.7462098726417956
Quartiles,0.25,0.75,200507,2005,6,8,15,-0.27222067878730793,-0.8009975069110951
Quartiles,0.25,0.75,200508,2005,1,8,15,-0.0007227591060662286,-0.000826822607601585
Quartiles,0.25,0.75,200508,2005,2,8,15,0.011538357032834456,0.01663537331231346
Quartiles,0.25,0.75,200508,2005,3,8,15,-0.011874945871260367,-0.022936582068112887
