partition,year,scale,ratio,rms_absolute
25--80,1997,3,-0.18733110842041745,-0.39984118414452147
25--80,1997,4,-0.2230741993700591,-0.6063403415545624
25--80,1997,5,-0.2387147484691259,-0.7203012731649183
25--80,1997,6,-0.24447928748933345,-0.7645466121274485
25--80,1998,1,0.012791034340496036,0.010446177971401424
25--80,1998,2,0.015369316735689567,0.012940202122121214
25--80,1998,3,0.016159329304122005,0.010300678218852758
25--80,1998,4,-0.017785375468497972,-0.08744784873819977
25--80,1998,5,-0.041120112162658616,-0.1767631712597965
25--80,1998,6,-0.05103178563210083,-0.21948449945513518
25--80,1999,1,-0.08235003540702679,-0.09791561228500578
25--80,1999,2,-0.11236789804955057,-0.17184640997709769
25--80,1999,3,-0.13925252966936472,-0.29094121505943676
25--80,1999,4,-0.17799546818612008,-0.48141476018698803
25--80,1999,5,-0.20342739658816436,-0.6172914089654121
25--80,1999,6,-0.21429774117458678,-0.6774079005749858
25--80,2000,1,-0.09460043432618821,-0.11547409694883697
25--80,2000,2,-0.12163286839028165,-0.18958265452567483
25--80,2000,3,-0.1594083094339244,-0.3393058137258114
25--80,2000,4,-0.21248906538921772,-0.5736790372273693
25--80,2000,5,-0.2420484337468974,-0.723069594027589
25--80,2000,6,-0.25425380141979464,-0.786640320621269
25--80,2001,1,-0.04552137814292482,-0.06056488374082954
25--80,2001,2,-0.04142747980018058,-0.0708312198788219
25--80,2001,3,-0.048176903542647476,-0.11162760924845072
25--80,2001,4,-0.09778386571122526,-0.27985874381604664
25--80,2001,5,-0.1323362096542616,-0.4212022730804872
25--80,2001,6,-0.1471535988925675,-0.48705971091133166
25--80,2002,1,0.050142875039643243,0.047330730236363916
25--80,2002,2,0.03777103816491475,0.0354291810003858
25--80,2002,3,0.0343841306918928,0.02385896985365754
25--80,2002,4,0.024268779697552072,-0.019798519588234125
25--80,2002,5,0.011481612030207736,-0.07013413920355631
25--80,2002,6,0.00526086791337262,-0.09533056812992946
25--80,2003,1,-0.03555197365796773,-0.04238517632627999
25--80,2003,2,-0.04750689524551847,-0.07320229713378579
25--80,2003,3,-0.07047420396364357,-0.14558445238413645
25--80,2003,4,-0.1315161967322177,-0.3472597186628719
25--80,2003,5,-0.16375826565595394,-0.4824846193258283
25--80,2003,6,-0.17635236940448826,-0.5399083229825763
25--80,2004,1,-0.012644694841952816,-0.015960291410356042
25--80,2004,2,-0.032036344574599064,-0.05119599810307459
25--80,2004,3,-0.06596809333879838,-0.14045087535355524
25--80,2004,4,-0.135472344270577,-0.36632733352729535
25--80,2004,5,-0.17725181442504997,-0.5377784883662198
25--80,2004,6,-0.1945736638363763,-0.6156317715136632
25--80,2005,1,-0.049393859632694305,-0.05827598939349373
25--80,2005,2,-0.07221833587188109,-0.10949013546554005
25--80,2005,3,-0.10936162798798303,-0.22548969929426507
25--80,2005,4,-0.1721368071449613,-0.4533710316775211
25--80,2005,5,-0.20881190788985818,-0.6122544422452743
25--80,2005,6,-0.223966133079208,-0.6818345175299356
25--80,2006,1,-0.027910424230292292,-0.03781880692118319
25--80,2006,2,-0.0476434946102644,-0.0769879371987409
25--80,2006,3,-0.09097994959621387,-0.1891656824991291
25--80,2006,4,-0.14010565759620539,-0.36784374971558337
25--80,2006,5,-0.16075593742671337,-0.46871741018264085
25--80,2006,6,-0.16784219440705883,-0.5080730304897179
25--80,2007,1,0.04034952466863384,0.04333528900895415
25--80,2007,2,0.02400653987293333,0.030028431102361086
25--80,2007,3,-0.017295370548108997,-0.04312820978224563
25--80,2007,4,-0.09821396733535455,-0.2625677678318912
25--80,2007,5,-0.14410528351993776,-0.4271960053033421
25--80,2007,6,-0.16293230046268373,-0.5022553100871082
25--80,2008,1,-0.02107773837465088,-0.02482391655518749
25--80,2008,2,-0.03463191019361648,-0.054644271811393974
25--80,2008,3,-0.05041196209923963,-0.11402635694948267
25--80,2008,4,-0.08525771712058176,-0.23917452599870673
25--80,2008,5,-0.1076939331997984,-0.3272438976212279
25--80,2008,6,-0.11731734043164188,-0.3661381380289577
25--80,2009,1,-0.11789356658813621,-0.15344159662965481
25--80,2009,2,-0.1459558983153285,-0.25163214823209756
25--80,2009,3,-0.18833705687494862,-0.45730016982480537
25--80,2009,4,-0.23089727566849658,-0.7314613713420881
25--80,2009,5,-0.25040513249683155,-0.8863878214268119
25--80,2009,6,-0.25776026944579067,-0.9479256297816846
25--80,2010,1,-0.03398253942113649,-0.04275479519485511
25--80,2010,2,-0.058236340726926704,-0.09633937257537688
25--80,2010,3,-0.10071122060830244,-0.23698359593739746
25--80,2010,4,-0.16146369378796124,-0.4853516491880561
25--80,2010,5,-0.1985444238625872,-0.653228573612829
25--80,2010,6,-0.21417569032621178,-0.7261636357936938
25--80,2011,1,-0.03023176758877692,-0.03526070274111944
25--80,2011,2,-0.04589747780479506,-0.0693006264467891
25--80,2011,3,-0.07224907331630485,-0.14858616287283213
25--80,2011,4,-0.14282597129755228,-0.38353516022666617
25--80,2011,5,-0.18445870117442228,-0.5580456752723814
25--80,2011,6,-0.2015506818164764,-0.6360568922269755
25--80,2012,1,-0.1340285580843712,-0.15768625470606987
25--80,2012,2,-0.20438481773209768,-0.31527496004712036
25--80,2012,3,-0.286323363748914,-0.6179361467020613
25--80,2012,4,-0.3354238835839429,-0.9397124272474217
25--80,2012,5,-0.3533091533209922,-1.1037040248837167
25--80,2012,6,-0.35951287140211324,-1.16582227094805
25--80,2013,1,-0.037244307072878624,-0.04472251392782223
25--80,2013,2,-0.04713688996519142,-0.07499998618879793
25--80,2013,3,-0.06525929757872595,-0.14586098596934885
25--80,2013,4,-0.11012141437922988,-0.2963555761370544
25--80,2013,5,-0.13573871318521327,-0.3957337816576277
25--80,2013,6,-0.14597746145322563,-0.4378991940928074
25--80,2014,1,-0.04125473911126302,-0.046938582839661645
25--80,2014,2,-0.04995825282237883,-0.07414827714236916
25--80,2014,3,-0.041270928599833244,-0.0854440471536962
25--80,2014,4,-0.05633235000716271,-0.14798316375118534
25--80,2014,5,-0.07433277508883525,-0.21706497542643088
25--80,2014,6,-0.08249755452075654,-0.2504040641024643
25--80,2016,1,0.01877894399956037,0.013673185045680084
25--80,2016,2,0.021941591081827656,0.01587686804082618
25--80,2016,3,0.008007355666943142,-0.017323635093001055
25--80,2016,4,-0.03163325021272564,-0.1284684075082326
25--80,2016,5,-0.05457773488974238,-0.2095569409772612
25--80,2016,6,-0.06407172334020583,-0.24633130017809593
25--80,2017,1,-0.04926261281105456,-0.0573830477598792
25--80,2017,2,-0.05286809044430226,-0.07996444319037647
25--80,2017,3,-0.07367880461822958,-0.15297093122304606
25--80,2017,4,-0.12248998203712376,-0.32922578257576607
25--80,2017,5,-0.1513003504276749,-0.4566024912139621
25--80,2017,6,-0.16340772229960276,-0.5142349508331261
